"network","alpha","instance","time","d_cpdag","SHD","SHDs","TPR","FPR"
10,1,1,0.373805046081543,6,4,4,1,0.0434782608695652
10,1,2,0.214966058731079,7,5,3,1,0.0326086956521739
10,1,3,0.21832013130188,7,5,5,1,0.0543478260869565
10,1,4,0.204913139343262,14,10,6,1,0.0652173913043478
10,1,5,0.214568853378296,5,4,3,1,0.0326086956521739
10,1,6,0.200146913528442,4,2,1,1,0.0108695652173913
10,1,7,0.222767114639282,13,8,8,1,0.0869565217391304
10,1,8,0.209642887115479,13,10,7,1,0.0760869565217391
10,1,9,0.200587034225464,0,1,0,1,0
10,1,10,0.201305866241455,1,1,1,1,0.0108695652173913
10,2,1,0.211061954498291,6,4,3,1,0.0326086956521739
10,2,2,0.213313102722168,9,8,5,1,0.0543478260869565
10,2,3,0.200004100799561,6,4,4,1,0.0434782608695652
10,2,4,0.210375070571899,16,13,9,1,0.0978260869565217
10,2,5,0.200803995132446,8,4,3,1,0.0326086956521739
10,2,6,0.214075088500977,2,4,1,1,0.0108695652173913
10,2,7,0.203158855438232,16,11,9,1,0.0978260869565217
10,2,8,0.211387872695923,11,10,7,1,0.0760869565217391
10,2,9,0.203034162521362,0,1,0,1,0
10,2,10,0.211598873138428,9,5,4,1,0.0434782608695652
10,4,1,0.208681106567383,4,2,2,1,0.0217391304347826
10,4,2,0.216403007507324,4,2,2,1,0.0217391304347826
10,4,3,0.204510927200317,4,3,2,1,0.0217391304347826
10,4,4,0.219349145889282,3,2,2,1,0.0217391304347826
10,4,5,0.206041812896729,6,4,3,1,0.0326086956521739
10,4,6,0.215075016021729,6,3,3,1,0.0326086956521739
10,4,7,0.201949834823608,14,10,7,1,0.0760869565217391
10,4,8,0.215594053268433,3,2,2,1,0.0217391304347826
10,4,9,0.214806795120239,4,3,2,1,0.0217391304347826
10,4,10,0.226649045944214,6,5,4,1,0.0434782608695652
15,1,1,0.35905385017395,15,8,7,1,0.0328638497652582
15,1,2,0.351079940795898,16,12,10,1,0.0469483568075117
15,1,3,0.345183134078979,17,12,10,1,0.0469483568075117
15,1,4,0.344936847686768,10,7,7,1,0.0328638497652582
15,1,5,0.34748101234436,6,5,5,1,0.0234741784037559
15,1,6,0.357110977172852,6,4,4,1,0.0187793427230047
15,1,7,0.361668825149536,21,14,14,1,0.0657276995305164
15,1,8,0.347182989120483,12,5,5,1,0.0234741784037559
15,1,9,0.354605197906494,6,4,4,1,0.0187793427230047
15,1,10,0.356506109237671,12,8,8,1,0.0375586854460094
15,2,1,0.357141017913818,16,9,7,1,0.0328638497652582
15,2,2,0.351839065551758,14,11,8,1,0.0375586854460094
15,2,3,0.367224216461182,15,11,10,1,0.0469483568075117
15,2,4,0.355257987976074,15,7,6,1,0.028169014084507
15,2,5,0.35345196723938,12,7,7,1,0.0328638497652582
15,2,6,0.363156080245972,15,9,8,1,0.0375586854460094
15,2,7,0.356322050094604,19,14,12,1,0.0563380281690141
15,2,8,0.355740070343018,13,6,6,1,0.028169014084507
15,2,9,0.369271039962769,10,6,6,1,0.028169014084507
15,2,10,0.359957218170166,17,10,9,1,0.0422535211267606
15,4,1,0.376072883605957,10,8,5,1,0.0234741784037559
15,4,2,0.354455947875977,18,11,8,1,0.0375586854460094
15,4,3,0.347406148910522,11,7,5,0.916666666666667,0.0187793427230047
15,4,4,0.35070013999939,17,11,8,0.916666666666667,0.0328638497652582
15,4,5,0.352788925170898,23,15,13,0.916666666666667,0.0563380281690141
15,4,6,0.370611906051636,9,7,5,1,0.0234741784037559
15,4,7,0.401169061660767,26,19,15,1,0.0704225352112676
15,4,8,0.364382028579712,13,10,9,1,0.0422535211267606
15,4,9,0.361692190170288,25,20,15,0.916666666666667,0.0657276995305164
15,4,10,0.353950977325439,15,10,8,0.916666666666667,0.0328638497652582
20,1,1,0.561231851577759,21,14,13,1,0.0338541666666667
20,1,2,0.573771953582764,19,13,11,1,0.0286458333333333
20,1,3,0.564226865768433,27,18,16,1,0.0416666666666667
20,1,4,0.551314115524292,14,9,8,1,0.0208333333333333
20,1,5,0.575345993041992,15,10,9,1,0.0234375
20,1,6,0.572582960128784,15,10,10,1,0.0260416666666667
20,1,7,0.657685041427612,32,22,18,1,0.046875
20,1,8,0.560312032699585,15,10,9,1,0.0234375
