network,instance,d_cpdag,SHDs,TPR,FPR,time,SHD
1dsep,1,6,3,1,0.1,0.2,4
1dsep,2,17,6,1,0.2,0.1,9
1dsep,3,6,3,1,0.1,0.1,4
1dsep,4,5,3,1,0.1,0.2,5
1dsep,5,7,4,1,0.133333333,0.1,6
1dsep,6,19,7,1,0.233333333,0.1,10
1dsep,7,15,6,1,0.2,0.2,8
1dsep,8,13,4,1,0.133333333,0.2,6
1dsep,9,2,1,0.833333333,0,0.1,1
1dsep,10,15,5,1,0.166666667,0.2,7
2asia,1,23,13,0.875,0.214285714,0.2,16
2asia,2,17,11,0.875,0.178571429,0.2,13
2asia,3,24,12,0.875,0.196428571,0.2,15
2asia,4,11,7,0.875,0.107142857,0.2,9
2asia,5,20,12,1,0.214285714,0.2,15
2asia,6,15,9,0.875,0.142857143,0.2,11
2asia,7,22,13,1,0.232142857,0.2,16
2asia,8,13,8,0.875,0.125,0.2,10
2asia,9,22,12,0.875,0.196428571,0.2,15
2asia,10,13,8,0.875,0.125,0.2,10
3bowling,1,9,6,0.909090909,0.071428571,0.2,7
3bowling,2,6,4,0.909090909,0.042857143,0.2,5
3bowling,3,10,5,0.909090909,0.057142857,0.2,6
3bowling,4,3,2,0.909090909,0.014285714,0.2,3
3bowling,5,9,6,0.909090909,0.071428571,0.2,7
3bowling,6,5,4,0.909090909,0.042857143,0.2,4
3bowling,7,7,5,0.909090909,0.057142857,0.2,6
3bowling,8,2,1,0.909090909,0,0.2,2
3bowling,9,2,1,0.909090909,0,0.2,2
3bowling,10,3,2,0.909090909,0.014285714,0.2,3
4insuranceSmall,1,32,19,0.96,0.09,0.4,24
4insuranceSmall,2,48,29,1,0.145,0.5,37
4insuranceSmall,3,33,18,0.92,0.08,0.7,23
4insuranceSmall,4,37,20,0.96,0.095,0.6,27
4insuranceSmall,5,37,20,0.96,0.095,0.4,26
4insuranceSmall,6,43,22,0.96,0.105,0.4,30
4insuranceSmall,7,39,22,0.92,0.1,0.4,28
4insuranceSmall,8,30,17,0.96,0.08,0.4,22
4insuranceSmall,9,36,18,0.96,0.085,0.4,24
4insuranceSmall,10,42,23,0.96,0.11,0.4,29
5rain,1,22,12,0.944444444,0.061797753,0.4,17
5rain,2,25,13,0.944444444,0.06741573,0.4,17
5rain,3,16,6,0.944444444,0.028089888,0.4,8
5rain,4,17,11,0.944444444,0.056179775,0.4,15
5rain,5,11,6,0.944444444,0.028089888,0.4,10
5rain,6,18,10,0.944444444,0.050561798,0.4,13
5rain,7,20,11,0.944444444,0.056179775,0.4,14
5rain,8,18,9,0.944444444,0.04494382,0.4,13
5rain,9,22,12,0.944444444,0.061797753,0.4,15
5rain,10,12,6,1,0.033707865,0.4,10
6cloud,1,35,14,0.894736842,0.050632911,0.5,19
6cloud,2,34,14,0.894736842,0.050632911,0.5,19
6cloud,3,50,24,0.947368421,0.097046414,0.5,30
6cloud,4,46,26,0.947368421,0.105485232,0.5,31
6cloud,5,33,17,0.894736842,0.063291139,0.5,22
6cloud,6,34,17,0.894736842,0.063291139,0.5,22
6cloud,7,49,24,0.947368421,0.097046414,0.7,30
6cloud,8,46,24,0.947368421,0.097046414,0.5,30
6cloud,9,47,21,0.947368421,0.084388186,0.5,28
6cloud,10,43,24,0.947368421,0.097046414,0.5,29
7funnel,1,16,11,0.944444444,0.032679739,0.6,12
7funnel,2,21,13,0.944444444,0.039215686,0.6,14
7funnel,3,14,10,0.944444444,0.029411765,0.6,11
7funnel,4,18,13,0.944444444,0.039215686,0.6,14
7funnel,5,17,10,0.944444444,0.029411765,0.6,11
7funnel,6,16,9,1,0.029411765,0.6,11
7funnel,7,19,12,0.944444444,0.035947712,0.6,13
7funnel,8,16,10,0.944444444,0.029411765,0.6,11
7funnel,9,12,7,0.944444444,0.019607843,0.6,8
7funnel,10,14,8,0.944444444,0.022875817,0.6,9
8galaxy,1,52,28,0.954545455,0.071428571,0.8,36
8galaxy,2,50,29,0.954545455,0.074074074,0.7,35
8galaxy,3,43,25,0.954545455,0.063492063,0.8,32
8galaxy,4,53,30,0.954545455,0.076719577,1,38
8galaxy,5,46,20,0.954545455,0.05026455,0.7,27
8galaxy,6,44,23,0.954545455,0.058201058,0.7,30
8galaxy,7,39,21,0.954545455,0.052910053,0.7,26
8galaxy,8,41,24,0.954545455,0.060846561,0.7,32
8galaxy,9,42,26,0.954545455,0.066137566,0.7,33
8galaxy,10,47,25,0.954545455,0.063492063,0.7,32
9insurance,1,57,32,1,0.047267356,1.4,40
9insurance,2,42,23,1,0.033973412,1.4,26
9insurance,3,44,26,0.980769231,0.036927622,1.6,31
9insurance,4,42,24,0.980769231,0.033973412,1.4,27
9insurance,5,50,30,0.980769231,0.042836041,1.4,36
9insurance,6,42,21,1,0.031019202,1.6,28
9insurance,7,49,28,1,0.041358936,1.4,35
9insurance,8,43,26,1,0.038404727,1.4,32
9insurance,9,43,27,0.980769231,0.038404727,1.6,31
9insurance,10,40,24,0.980769231,0.033973412,1.4,28
10factors,1,27,11,0.970588235,0.013615734,1.6,12
10factors,2,30,11,0.970588235,0.013615734,1.5,12
10factors,3,23,9,0.970588235,0.010590015,1.7,10
10factors,4,21,8,0.955882353,0.007564297,1.4,9
10factors,5,35,12,0.955882353,0.013615734,1.4,13
10factors,6,17,7,0.970588235,0.007564297,1.4,8
10factors,7,25,8,0.985294118,0.010590015,1.4,9
10factors,8,22,10,0.955882353,0.010590015,1.4,11
10factors,9,28,10,0.970588235,0.012102874,1.6,11
10factors,10,23,10,0.970588235,0.012102874,1.5,11
11hfinder,1,132,88,0.96969697,0.028013029,9.4,103
11hfinder,2,111,78,0.96969697,0.0247557,9.4,93
11hfinder,3,117,74,0.96969697,0.023452769,9.7,90
11hfinder,4,125,79,0.96969697,0.025081433,9.2,93
11hfinder,5,117,80,0.96969697,0.025407166,9.2,91
11hfinder,6,123,86,0.984848485,0.027687296,9.3,102
11hfinder,7,86,58,0.984848485,0.018566775,9,70
11hfinder,8,126,75,0.984848485,0.024104235,9.3,93
11hfinder,9,122,78,0.96969697,0.0247557,9,92
11hfinder,10,142,92,0.954545455,0.028990228,9.7,109
12hepar,1,155,108,0.991869919,0.022398995,19.6,127
12hepar,2,123,81,0.983739837,0.016537576,21.6,94
12hepar,3,135,95,0.991869919,0.019677622,20.4,110
12hepar,4,122,78,0.975609756,0.01570023,20,94
12hepar,5,116,80,0.983739837,0.016328239,19.9,94
12hepar,6,121,83,0.983739837,0.016956249,19.9,99
12hepar,7,112,76,0.983739837,0.015490894,19.8,91
12hepar,8,120,82,0.975609756,0.016537576,20.2,97
12hepar,9,124,81,0.991869919,0.016746912,20.3,96
12hepar,10,138,95,0.983739837,0.019468286,20.7,111
