network,RGAP,d_cpdag,SHDs,TPR,FPR,Time
1dsep,9e-05,5,0.0,1.0,0.0,0.57508
2asia,0.0,4,2.0,0.875,0.05,0.79714
3bowling,0.0,2,1.0,0.90909,0.0,5.91681
4insuranceSmall,0.08855,0,0.0,1.0,0.0,750.1266
5rain,0.0,8,2.0,1.0,0.0274,139.92149
6cloud,0.0,2,1.0,0.94737,0.0,115.2287
7funnel,2e-05,5,3.0,0.94444,0.01481,435.77643
8galaxy,0.0,3,2.0,0.95455,0.00595,906.89704
9insurance,0.3361,27,9.0,1.0,0.0301,1350.35149
10factors,0.60131,90,19.0,0.91176,0.04594,1350.21747
11hfinder,9.04395,65,24.0,1.0,0.01628,2800.56354
12hepar,0.475,110,35.0,1.0,0.01527,3500.59246
