network,k,RGAP,d_cpdag,SHDs,TPR,FPR,Time
1dsep,1,0.000044,2,1,0.833333,0,6.025851
1dsep,2,0.000044,2,1,0.833333,0,5.980243
1dsep,3,0.000044,2,1,0.833333,0,5.916455
1dsep,4,0.000044,2,1,0.833333,0,5.905808
1dsep,5,0.000044,2,1,0.833333,0,5.77036
1dsep,6,0.000044,2,1,0.833333,0,5.952655
1dsep,7,0.000044,2,1,0.833333,0,5.863587
1dsep,8,0.000044,2,1,0.833333,0,5.824627
1dsep,9,0.000044,2,1,0.833333,0,5.820886
1dsep,10,0.000044,2,1,0.833333,0,5.825616
2asia,1,0,2,1,0.875,0,7.984939
2asia,2,0,2,1,0.875,0,8.085121
2asia,3,0,2,1,0.875,0,8.103757
2asia,4,0,2,1,0.875,0,8.018027
2asia,5,0,2,1,0.875,0,8.087555
2asia,6,0,2,1,0.875,0,8.127747
2asia,7,0,2,1,0.875,0,8.169415
2asia,8,0,2,1,0.875,0,8.190246
2asia,9,0,2,1,0.875,0,8.209505
2asia,10,0,2,1,0.875,0,8.088388
3bowling,1,0,2,1,0.909091,0,32.401718
3bowling,2,0,2,1,0.909091,0,32.487369
3bowling,3,0,2,1,0.909091,0,32.834782
3bowling,4,0,2,1,0.909091,0,32.507804
3bowling,5,0,2,1,0.909091,0,32.729052
3bowling,6,0,2,1,0.909091,0,33.202942
3bowling,7,0,2,1,0.909091,0,33.045662
3bowling,8,0,2,1,0.909091,0,33.990849
3bowling,9,0,2,1,0.909091,0,33.093159
3bowling,10,0,2,1,0.909091,0,33.816935
4insuranceSmall,1,0.088412359,4,2,0.92,0,750.287084
4insuranceSmall,2,0.091800909,4,2,0.92,0,750.2207968
4insuranceSmall,3,0.093225129,4,2,0.92,0,750.2787969
4insuranceSmall,4,0.093768006,4,2,0.92,0,750.2735847
4insuranceSmall,5,0.094149283,4,2,0.92,0,750.3396699
4insuranceSmall,6,0.093915852,4,2,0.92,0,750.3777026
4insuranceSmall,7,0.094149283,4,2,0.92,0,750.2988543
4insuranceSmall,8,0.094073314,4,2,0.92,0,750.3416811
4insuranceSmall,9,0.094171607,4,2,0.92,0,750.2789684
