"m","alpha","k","Time","d_cpdag","SHD","SHDs","TPR","FPR"
10,4,1,0.39532995223999,6,3,2,1,0.0217391304347826
10,4,2,0.147181034088135,6,4,3,0.875,0.0217391304347826
10,4,3,0.153489112854004,7,6,4,1,0.0434782608695652
10,4,4,0.146201133728027,4,2,1,1,0.0108695652173913
10,4,5,0.15046501159668,6,4,2,1,0.0217391304347826
10,4,6,0.151283025741577,6,4,2,1,0.0217391304347826
10,4,7,0.1443190574646,8,5,4,1,0.0434782608695652
10,4,8,0.152533054351807,6,5,3,1,0.0326086956521739
10,4,9,0.149937868118286,2,3,1,1,0.0108695652173913
10,4,10,0.156854152679443,7,5,3,1,0.0326086956521739
10,4,11,0.152091979980469,4,5,2,1,0.0217391304347826
10,4,12,0.170745849609375,5,5,3,1,0.0326086956521739
10,4,13,0.153570890426636,4,4,2,1,0.0217391304347826
10,4,14,0.154658079147339,6,6,4,1,0.0434782608695652
10,4,15,0.149956941604614,3,4,2,1,0.0217391304347826
10,4,16,0.149317979812622,5,4,3,1,0.0326086956521739
10,4,17,0.153342008590698,6,5,3,1,0.0326086956521739
10,4,18,0.152961015701294,4,4,2,1,0.0217391304347826
10,4,19,0.142405986785889,4,3,2,1,0.0217391304347826
10,4,20,0.151621103286743,6,5,3,1,0.0326086956521739
10,4,21,0.150411128997803,12,8,6,1,0.0652173913043478
10,4,22,0.149493932723999,6,4,2,1,0.0217391304347826
10,4,23,0.150362968444824,5,6,3,1,0.0326086956521739
10,4,24,0.263576984405518,11,8,6,1,0.0652173913043478
10,4,25,0.142031908035278,2,3,1,1,0.0108695652173913
10,4,26,0.147289991378784,10,7,4,1,0.0434782608695652
10,4,27,0.140864849090576,12,9,7,1,0.0760869565217391
10,4,28,0.147855043411255,5,5,2,1,0.0217391304347826
10,4,29,0.141100168228149,6,5,3,1,0.0326086956521739
10,4,30,0.147458076477051,7,6,4,1,0.0434782608695652
15,4,1,0.254881858825684,11,8,6,1,0.028169014084507
15,4,2,0.262308835983276,5,8,4,1,0.0187793427230047
15,4,3,0.2660071849823,17,13,10,1,0.0469483568075117
15,4,4,0.269481897354126,11,10,7,1,0.0328638497652582
15,4,5,0.263430118560791,14,13,8,1,0.0375586854460094
15,4,6,0.266577005386353,17,14,11,1,0.0516431924882629
15,4,7,0.265285968780518,14,14,10,1,0.0469483568075117
15,4,8,0.264026165008545,8,8,4,1,0.0187793427230047
15,4,9,0.258600950241089,4,4,2,1,0.00938967136150235
15,4,10,0.264202117919922,7,7,4,0.916666666666667,0.0140845070422535
15,4,11,0.268029928207397,4,6,2,1,0.00938967136150235
15,4,12,0.280257940292358,6,6,3,1,0.0140845070422535
15,4,13,0.268444061279297,6,6,2,1,0.00938967136150235
15,4,14,0.262338876724243,19,15,12,1,0.0563380281690141
15,4,15,0.267394065856934,12,10,6,1,0.028169014084507
15,4,16,0.269563913345337,4,5,2,1,0.00938967136150235
15,4,17,0.272156000137329,13,11,7,1,0.0328638497652582
15,4,18,0.399632930755615,13,10,6,1,0.028169014084507
15,4,19,0.259711027145386,12,11,7,1,0.0328638497652582
15,4,20,0.260855913162231,5,5,3,1,0.0140845070422535
15,4,21,0.259828090667725,8,8,5,1,0.0234741784037559
15,4,22,0.267467975616455,10,11,7,1,0.0328638497652582
15,4,23,0.265469074249268,4,4,2,1,0.00938967136150235
15,4,24,0.26091194152832,12,9,6,1,0.028169014084507
15,4,25,0.257725954055786,4,5,2,0.916666666666667,0.00469483568075117
15,4,26,0.266617059707642,12,9,5,1,0.0234741784037559
15,4,27,0.389161109924316,16,11,8,1,0.0375586854460094
15,4,28,0.2550950050354,16,13,9,1,0.0422535211267606
15,4,29,0.254893064498901,19,15,11,0.916666666666667,0.0469483568075117
15,4,30,0.268909931182861,15,12,8,1,0.0375586854460094
20,4,1,0.449359178543091,25,16,12,0.9375,0.0286458333333333
20,4,2,0.437357902526855,20,12,8,1,0.0208333333333333
20,4,3,0.462488889694214,29,17,13,1,0.0338541666666667
20,4,4,0.449475049972534,37,25,21,1,0.0546875
20,4,5,0.448018074035645,24,17,12,1,0.03125
20,4,6,0.45557689666748,25,17,13,0.9375,0.03125
20,4,7,0.498366832733154,26,17,13,0.9375,0.03125
20,4,8,0.486526012420654,24,17,13,0.875,0.0286458333333333
20,4,9,0.467588901519775,27,17,13,1,0.0338541666666667
20,4,10,0.460208892822266,41,29,24,1,0.0625
20,4,11,0.463222980499268,30,17,13,0.9375,0.03125
20,4,12,0.583549976348877,28,17,13,0.9375,0.03125
20,4,13,0.43488597869873,19,12,8,0.9375,0.0182291666666667
20,4,14,0.446370840072632,31,19,15,1,0.0390625
20,4,15,0.448137044906616,34,20,16,0.9375,0.0390625
20,4,16,0.458590030670166,25,15,12,1,0.03125
20,4,17,0.474570035934448,27,19,15,0.9375,0.0364583333333333
20,4,18,0.51103401184082,28,21,17,0.9375,0.0416666666666667
20,4,19,0.459914922714233,34,23,19,0.9375,0.046875
20,4,20,0.462847948074341,38,28,24,0.9375,0.0598958333333333
20,4,21,0.470082998275757,26,17,13,1,0.0338541666666667
20,4,22,0.466557025909424,29,18,14,0.9375,0.0338541666666667
20,4,23,0.460980892181396,17,12,8,0.9375,0.0182291666666667
20,4,24,0.464042186737061,32,23,19,0.9375,0.046875
20,4,25,0.465900182723999,27,16,12,1,0.03125
20,4,26,0.580548048019409,29,21,17,0.875,0.0390625
20,4,27,0.431917190551758,28,18,14,1,0.0364583333333333
20,4,28,0.44781494140625,22,15,10,1,0.0260416666666667
20,4,29,0.448287963867188,35,22,18,0.875,0.0416666666666667
20,4,30,0.449286937713623,23,15,11,0.9375,0.0260416666666667
