"m","alpha","k","time","d_cpdag","SHD","SHDs","TPR","FPR"
10,4,1,0.387507915496826,11,5,4,1,0.0434782608695652
10,4,2,0.165437936782837,6,4,3,0.875,0.0217391304347826
10,4,3,0.162971019744873,5,4,3,1,0.0326086956521739
10,4,4,0.152501821517944,2,2,1,1,0.0108695652173913
10,4,5,0.156850099563599,8,6,5,1,0.0543478260869565
10,4,6,0.153542041778564,7,5,3,1,0.0326086956521739
10,4,7,0.154689073562622,8,5,4,1,0.0434782608695652
10,4,8,0.155017852783203,7,5,4,1,0.0434782608695652
10,4,9,0.157948017120361,1,2,1,1,0.0108695652173913
10,4,10,0.156462907791138,4,3,2,1,0.0217391304347826
10,4,11,0.156064987182617,0,2,0,1,0
10,4,12,0.160773038864136,5,5,3,1,0.0326086956521739
10,4,13,0.169935941696167,4,3,2,1,0.0217391304347826
10,4,14,0.156376123428345,5,5,3,1,0.0326086956521739
10,4,15,0.158316850662231,6,6,4,1,0.0434782608695652
10,4,16,0.155962944030762,3,3,2,1,0.0217391304347826
10,4,17,0.157227039337158,8,6,4,1,0.0434782608695652
10,4,18,0.157076120376587,2,2,1,1,0.0108695652173913
10,4,19,0.154887914657593,6,4,3,1,0.0326086956521739
10,4,20,0.156533002853394,6,5,3,1,0.0326086956521739
10,4,21,0.155789136886597,6,4,3,1,0.0326086956521739
10,4,22,0.157387971878052,2,4,2,1,0.0217391304347826
10,4,23,0.155861139297485,5,4,2,1,0.0217391304347826
10,4,24,0.162600040435791,9,7,6,1,0.0652173913043478
10,4,25,0.156716823577881,2,3,1,1,0.0108695652173913
10,4,26,0.158529996871948,4,4,2,1,0.0217391304347826
10,4,27,0.163133144378662,7,5,4,1,0.0434782608695652
10,4,28,0.179434061050415,4,4,2,1,0.0217391304347826
10,4,29,0.162935018539429,4,4,2,1,0.0217391304347826
10,4,30,0.163449048995972,7,5,4,1,0.0434782608695652
15,4,1,0.483645915985107,11,9,5,1,0.0234741784037559
15,4,2,0.286632061004639,8,7,2,1,0.00938967136150235
15,4,3,0.279278993606567,16,13,8,1,0.0375586854460094
15,4,4,0.279409885406494,22,17,11,1,0.0516431924882629
15,4,5,0.270529985427856,15,12,7,1,0.0328638497652582
15,4,6,0.278053045272827,23,19,13,1,0.0610328638497653
15,4,7,0.273228168487549,14,13,8,1,0.0375586854460094
15,4,8,0.293126106262207,22,17,11,1,0.0516431924882629
15,4,9,0.27691388130188,11,9,4,1,0.0187793427230047
15,4,10,0.274265050888062,17,14,8,0.916666666666667,0.0328638497652582
15,4,11,0.277525901794434,12,11,5,1,0.0234741784037559
15,4,12,0.290420055389404,12,11,6,1,0.028169014084507
15,4,13,0.276258945465088,12,10,5,0.916666666666667,0.0187793427230047
15,4,14,0.291224956512451,27,20,14,1,0.0657276995305164
15,4,15,0.286413908004761,21,18,12,1,0.0563380281690141
15,4,16,0.279824018478394,12,13,8,1,0.0375586854460094
15,4,17,0.292914152145386,18,16,10,1,0.0469483568075117
15,4,18,0.284548997879028,17,13,8,1,0.0375586854460094
15,4,19,0.286358118057251,16,13,8,1,0.0375586854460094
15,4,20,0.293482065200806,12,11,6,1,0.028169014084507
15,4,21,0.290491104125977,18,13,8,1,0.0375586854460094
15,4,22,0.2848219871521,16,12,7,1,0.0328638497652582
15,4,23,0.293488025665283,17,14,8,0.916666666666667,0.0328638497652582
15,4,24,0.285932779312134,14,13,8,1,0.0375586854460094
15,4,25,0.288112163543701,13,10,5,0.916666666666667,0.0187793427230047
15,4,26,0.31726598739624,14,11,5,1,0.0234741784037559
15,4,27,0.292010068893433,23,18,12,1,0.0563380281690141
15,4,28,0.30231499671936,22,16,11,1,0.0516431924882629
15,4,29,0.284645080566406,22,18,13,0.916666666666667,0.0563380281690141
15,4,30,0.296274900436401,20,17,12,0.916666666666667,0.0516431924882629
20,4,1,0.519236087799072,22,15,9,1,0.0234375
20,4,2,0.51790189743042,20,15,9,1,0.0234375
20,4,3,0.52048397064209,26,16,10,1,0.0260416666666667
20,4,4,0.638796806335449,36,26,22,1,0.0572916666666667
20,4,5,0.472506046295166,28,16,11,1,0.0286458333333333
20,4,6,0.48139500617981,21,15,10,0.9375,0.0234375
20,4,7,0.471966981887817,23,15,11,0.9375,0.0260416666666667
20,4,8,0.494293928146362,27,18,12,1,0.03125
20,4,9,0.477566957473755,24,15,9,1,0.0234375
20,4,10,0.50798511505127,35,25,19,1,0.0494791666666667
20,4,11,0.494910001754761,31,19,14,0.875,0.03125
20,4,12,0.477098941802979,27,16,10,1,0.0260416666666667
20,4,13,0.478016138076782,20,14,10,0.9375,0.0234375
20,4,14,0.502788066864014,28,18,12,1,0.03125
20,4,15,0.487690925598145,29,18,12,1,0.03125
20,4,16,0.497006893157959,23,15,9,1,0.0234375
20,4,17,0.583333015441895,22,14,9,0.9375,0.0208333333333333
20,4,18,0.701674938201904,24,17,11,0.9375,0.0260416666666667
20,4,19,1.81434798240662,26,19,13,1,0.0338541666666667
20,4,20,1.63216400146484,35,24,18,1,0.046875
20,4,21,1.0413088798523,27,17,11,1,0.0286458333333333
20,4,22,0.634235858917236,25,17,13,0.9375,0.03125
20,4,23,0.49844217300415,19,12,6,1,0.015625
20,4,24,0.505748987197876,31,23,17,1,0.0442708333333333
20,4,25,0.508893013000488,30,17,11,1,0.0286458333333333
20,4,26,0.516561031341553,27,17,13,0.875,0.0286458333333333
20,4,27,0.496335983276367,24,17,11,1,0.0286458333333333
20,4,28,0.51175594329834,22,16,10,1,0.0260416666666667
20,4,29,0.677824020385742,34,21,17,0.875,0.0390625
20,4,30,0.669061899185181,22,14,8,1,0.0208333333333333
