"m","alpha","k","time","d_cpdag","SHD","SHDs","TPR","FPR"
10,4,1,0.0384459495544434,0,1,0,1,0
10,4,2,0.00668811798095703,2,2,1,0.875,0
10,4,3,0.00360989570617676,2,2,1,0.875,0
10,4,4,0.00301194190979004,0,1,0,1,0
10,4,5,0.00303292274475098,4,3,2,0.875,0.0108695652173913
10,4,6,0.00296401977539062,0,2,0,1,0
10,4,7,0.00296115875244141,2,2,1,0.875,0
10,4,8,0.0029909610748291,0,1,0,1,0
10,4,9,0.00298786163330078,2,2,1,0.875,0
10,4,10,0.0029299259185791,0,1,0,1,0
10,4,11,0.00309109687805176,2,3,1,0.875,0
10,4,12,0.00300192832946777,0,2,0,1,0
10,4,13,0.00302290916442871,2,2,1,0.875,0
10,4,14,0.00296306610107422,2,3,1,0.875,0
10,4,15,0.00302886962890625,0,2,0,1,0
10,4,16,0.0032041072845459,0,1,0,1,0
10,4,17,0.00328397750854492,2,3,1,1,0.0108695652173913
10,4,18,0.00293803215026855,0,1,0,1,0
10,4,19,0.00361490249633789,2,2,1,1,0.0108695652173913
10,4,20,0.00317883491516113,0,2,0,1,0
10,4,21,0.00309586524963379,0,1,0,1,0
10,4,22,0.00299191474914551,2,3,1,0.875,0
10,4,23,0.00345897674560547,5,4,2,0.875,0.0108695652173913
10,4,24,0.00312685966491699,0,1,0,1,0
10,4,25,0.00340580940246582,2,3,1,0.875,0
10,4,26,0.00347805023193359,0,2,0,1,0
10,4,27,0.00295495986938477,2,2,1,0.875,0
10,4,28,0.00299501419067383,3,3,1,1,0.0108695652173913
10,4,29,0.00296998023986816,0,2,0,1,0
10,4,30,0.00301814079284668,0,1,0,1,0
15,4,1,0.0274510383605957,4,5,1,1,0.00469483568075117
15,4,2,0.00798416137695312,6,6,1,1,0.00469483568075117
15,4,3,0.00779414176940918,12,10,5,0.916666666666667,0.0187793427230047
15,4,4,0.00809383392333984,14,11,5,0.916666666666667,0.0187793427230047
15,4,5,0.00822710990905762,6,6,1,1,0.00469483568075117
15,4,6,0.0078740119934082,12,11,5,0.916666666666667,0.0187793427230047
15,4,7,0.00809192657470703,12,9,4,0.833333333333333,0.00938967136150235
15,4,8,0.00810003280639648,14,12,6,0.833333333333333,0.0187793427230047
15,4,9,0.00819516181945801,6,6,1,1,0.00469483568075117
15,4,10,0.00783205032348633,12,10,4,0.916666666666667,0.0140845070422535
15,4,11,0.00809383392333984,12,10,4,1,0.0187793427230047
15,4,12,0.00813198089599609,8,8,3,0.833333333333333,0.00469483568075117
15,4,13,0.00786495208740234,8,8,3,0.833333333333333,0.00469483568075117
15,4,14,0.00793290138244629,13,11,5,0.916666666666667,0.0187793427230047
15,4,15,0.00793600082397461,12,10,4,0.916666666666667,0.0140845070422535
15,4,16,0.00787806510925293,8,7,2,1,0.00938967136150235
15,4,17,0.00793981552124023,10,10,4,0.916666666666667,0.0140845070422535
15,4,18,0.0079958438873291,8,8,3,0.833333333333333,0.00469483568075117
15,4,19,0.0077970027923584,8,7,2,1,0.00938967136150235
15,4,20,0.00806999206542969,10,9,4,0.916666666666667,0.0140845070422535
15,4,21,0.00782394409179688,6,6,1,1,0.00469483568075117
15,4,22,0.00784397125244141,6,6,1,1,0.00469483568075117
15,4,23,0.00788998603820801,14,11,5,0.916666666666667,0.0187793427230047
15,4,24,0.00829291343688965,14,11,6,0.75,0.0140845070422535
15,4,25,0.00781989097595215,8,7,2,0.916666666666667,0.00469483568075117
15,4,26,0.00786304473876953,12,10,4,1,0.0187793427230047
15,4,27,0.00793194770812988,13,11,5,0.916666666666667,0.0187793427230047
15,4,28,0.00779008865356445,10,8,3,0.916666666666667,0.00938967136150235
15,4,29,0.00825285911560059,8,8,3,0.833333333333333,0.00469483568075117
15,4,30,0.00789499282836914,8,8,3,0.833333333333333,0.00469483568075117
20,4,1,0.0375449657440186,17,10,6,0.875,0.0104166666666667
20,4,2,0.0182709693908691,17,10,6,0.875,0.0104166666666667
20,4,3,0.0178768634796143,16,10,5,0.9375,0.0104166666666667
20,4,4,0.0179169178009033,15,9,5,0.9375,0.0104166666666667
20,4,5,0.0186030864715576,14,10,5,0.875,0.0078125
20,4,6,0.0419309139251709,18,11,7,0.8125,0.0104166666666667
20,4,7,0.0179741382598877,11,8,4,0.9375,0.0078125
20,4,8,0.0177268981933594,16,10,5,0.875,0.0078125
20,4,9,0.0177280902862549,15,10,5,0.9375,0.0104166666666667
20,4,10,0.0178048610687256,19,11,7,0.8125,0.0104166666666667
20,4,11,0.0421991348266602,19,11,7,0.8125,0.0104166666666667
20,4,12,0.0177018642425537,17,10,6,0.875,0.0104166666666667
20,4,13,0.0179719924926758,15,10,6,0.875,0.0104166666666667
20,4,14,0.0177459716796875,18,11,6,0.8125,0.0078125
20,4,15,0.0175859928131104,17,10,6,0.875,0.0104166666666667
20,4,16,0.0181169509887695,13,9,5,0.875,0.0078125
20,4,17,0.0178048610687256,17,10,6,0.875,0.0104166666666667
20,4,18,0.019399881362915,20,12,8,0.8125,0.0130208333333333
20,4,19,0.0184028148651123,17,10,6,0.875,0.0104166666666667
20,4,20,0.0425548553466797,21,14,10,0.8125,0.0182291666666667
20,4,21,0.0178201198577881,16,10,5,0.875,0.0078125
20,4,22,0.0180630683898926,11,8,4,0.9375,0.0078125
20,4,23,0.017564058303833,17,10,6,0.875,0.0104166666666667
20,4,24,0.0385820865631104,17,10,6,0.875,0.0104166666666667
20,4,25,0.0177929401397705,19,11,7,0.8125,0.0104166666666667
20,4,26,0.0181238651275635,16,10,6,0.875,0.0104166666666667
20,4,27,0.0178189277648926,21,12,7,0.8125,0.0104166666666667
20,4,28,0.017632007598877,18,11,7,0.8125,0.0104166666666667
20,4,29,0.0397679805755615,16,11,7,0.875,0.0130208333333333
20,4,30,0.0177149772644043,18,11,7,0.8125,0.0104166666666667
