m,k,alpha,d_cpdag,TPR,FPR,Time
10,1,4,2,1.0,0.0,0.013534069061279297
10,2,4,4,0.875,0.0,0.00964212417602539
10,3,4,4,0.875,0.0,0.009985685348510742
10,4,4,2,1.0,0.0,0.009750127792358398
10,5,4,6,0.875,0.02702702702702703,0.008789777755737305
10,6,4,2,1.0,0.0,0.010453939437866211
10,7,4,4,0.875,0.0,0.00963592529296875
10,8,4,0,1.0,0.0,0.009488105773925781
10,9,4,4,0.875,0.0,0.00988006591796875
10,10,4,0,1.0,0.0,0.011621236801147461
10,11,4,2,0.875,0.0,0.010399103164672852
10,12,4,2,0.875,0.0,0.012840032577514648
10,13,4,4,0.875,0.0,0.01041412353515625
10,14,4,4,0.875,0.0,0.010432004928588867
10,15,4,2,1.0,0.0,0.011022090911865234
10,16,4,2,1.0,0.0,0.010384082794189453
10,17,4,2,1.0,0.0,0.01048588752746582
10,18,4,2,1.0,0.0,0.011324882507324219
10,19,4,4,1.0,0.02702702702702703,0.008969783782958984
10,20,4,0,1.0,0.0,0.008761167526245117
10,21,4,2,1.0,0.0,0.011290788650512695
10,22,4,4,0.875,0.0,0.00927734375
10,23,4,2,0.875,0.0,0.010384798049926758
10,24,4,0,1.0,0.0,0.009971141815185547
10,25,4,2,0.875,0.0,0.011288881301879883
10,26,4,0,1.0,0.0,0.010487794876098633
10,27,4,2,0.875,0.0,0.010787248611450195
10,28,4,5,0.875,0.02702702702702703,0.008424997329711914
10,29,4,2,1.0,0.0,0.010014057159423828
10,30,4,2,1.0,0.0,0.010458946228027344
15,1,4,7,1.0,0.0,0.01720285415649414
15,2,4,2,1.0,0.0,0.019411087036132812
15,3,4,8,0.9166666666666666,0.010752688172043012,0.018466949462890625
15,4,4,7,0.9166666666666666,0.0,0.014823198318481445
15,5,4,3,1.0,0.0,0.015399932861328125
15,6,4,4,1.0,0.010752688172043012,0.01904892921447754
15,7,4,9,0.8333333333333334,0.0,0.015349149703979492
15,8,4,5,1.0,0.0,0.01665782928466797
15,9,4,7,1.0,0.0,0.01701188087463379
15,10,4,9,0.9166666666666666,0.0,0.016460657119750977
15,11,4,5,1.0,0.0,0.020279884338378906
15,12,4,6,0.8333333333333334,0.0,0.015566110610961914
15,13,4,9,0.8333333333333334,0.0,0.013756990432739258
15,14,4,9,0.9166666666666666,0.010752688172043012,0.012722015380859375
15,15,4,7,0.9166666666666666,0.0,0.013781070709228516
15,16,4,3,1.0,0.0,0.013787269592285156
15,17,4,8,1.0,0.0,0.02821493148803711
15,18,4,16,0.9166666666666666,0.021505376344086023,0.01590895652770996
15,19,4,5,1.0,0.0,0.016034841537475586
15,20,4,7,0.9166666666666666,0.0,0.014291048049926758
15,21,4,4,1.0,0.0,0.020753860473632812
15,22,4,6,1.0,0.0,0.013563871383666992
15,23,4,7,0.9166666666666666,0.0,0.015501022338867188
15,24,4,9,0.8333333333333334,0.0,0.01520991325378418
15,25,4,7,0.9166666666666666,0.0,0.014490127563476562
15,26,4,5,1.0,0.0,0.016356229782104492
15,27,4,5,1.0,0.0,0.013968706130981445
15,28,4,11,0.9166666666666666,0.010752688172043012,0.015758991241455078
15,29,4,9,0.9166666666666666,0.0,0.01522517204284668
15,30,4,6,0.8333333333333334,0.0,0.018844127655029297
20,1,4,13,0.9375,0.011494252873563218,0.01926589012145996
20,2,4,19,0.75,0.017241379310344827,0.027997970581054688
20,3,4,15,0.9375,0.005747126436781609,0.02515888214111328
20,4,4,20,0.9375,0.040229885057471264,0.018496036529541016
20,5,4,7,0.9375,0.005747126436781609,0.02265310287475586
20,6,4,19,0.8125,0.028735632183908046,0.01981377601623535
20,7,4,14,0.9375,0.011494252873563218,0.018049001693725586
20,8,4,20,0.8125,0.022988505747126436,0.017532825469970703
20,9,4,17,0.9375,0.011494252873563218,0.021034955978393555
20,10,4,16,0.875,0.011494252873563218,0.02157282829284668
20,11,4,12,0.875,0.011494252873563218,0.0223238468170166
20,12,4,20,0.875,0.022988505747126436,0.02405405044555664
20,13,4,18,0.875,0.011494252873563218,0.025562763214111328
20,14,4,17,0.8125,0.017241379310344827,0.025171995162963867
20,15,4,15,0.9375,0.011494252873563218,0.016450881958007812
20,16,4,18,0.875,0.017241379310344827,0.018058061599731445
20,17,4,17,0.875,0.011494252873563218,0.022110939025878906
20,18,4,18,0.9375,0.022988505747126436,0.018609046936035156
20,19,4,15,0.9375,0.011494252873563218,0.01876091957092285
20,20,4,21,0.9375,0.028735632183908046,0.02180194854736328
20,21,4,19,0.9375,0.017241379310344827,0.020148277282714844
20,22,4,18,0.9375,0.017241379310344827,0.021916866302490234
20,23,4,15,0.9375,0.011494252873563218,0.020086050033569336
20,24,4,21,0.875,0.022988505747126436,0.02179098129272461
20,25,4,20,0.75,0.017241379310344827,0.02476811408996582
20,26,4,16,0.9375,0.022988505747126436,0.023830652236938477
20,27,4,13,0.8125,0.011494252873563218,0.019578218460083008
20,28,4,19,0.9375,0.022988505747126436,0.020280122756958008
20,29,4,20,0.875,0.022988505747126436,0.02963566780090332
20,30,4,16,0.9375,0.017241379310344827,0.01695704460144043
