m,n,alpha,k,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,4,1,1.1066034999999994,3.472326141882125e-05,0,0.0,1.0,0.0
10,400,4,2,0.47885700000000053,1.0297567648226948e-05,0,0.0,1.0,0.0
10,400,4,3,1.0581771660000001,1.3249984353336899e-05,0,0.0,1.0,0.0
10,400,4,4,0.7078102919999996,2.022692630823695e-06,0,0.0,1.0,0.0
10,400,4,5,0.4435155000000002,0.0,0,0.0,1.0,0.0
10,400,4,6,1.2824600830000001,2.8012663930990022e-05,0,0.0,1.0,0.0
10,400,4,7,1.006231209000001,4.53533607736009e-05,0,0.0,1.0,0.0
10,400,4,8,0.6163400839999991,1.0099969496805708e-06,0,0.0,1.0,0.0
10,400,4,9,1.2590132920000006,4.119734923506241e-05,0,0.0,1.0,0.0
10,400,4,10,0.9263407499999996,3.8415088535137154e-07,0,0.0,1.0,0.0
10,400,4,11,0.7558408750000005,8.031456344034987e-05,0,0.0,1.0,0.0
10,400,4,12,0.2689093749999998,9.743843555363665e-05,0,0.0,1.0,0.0
10,400,4,13,0.6388848750000005,9.793682939182095e-05,0,0.0,1.0,0.0
10,400,4,14,0.630154375,1.8331668232177238e-06,0,0.0,1.0,0.0
10,400,4,15,0.8158600000000007,4.0808752880617475e-05,0,0.0,1.0,0.0
10,400,4,16,0.9384151250000023,5.086813740410252e-07,0,0.0,1.0,0.0
10,400,4,17,0.8658764160000025,8.527489112006227e-05,0,0.0,1.0,0.0
10,400,4,18,0.38405037500000105,7.01930085270868e-05,2,0.0,1.0,0.0
10,400,4,19,0.6502553330000005,4.731615513482306e-05,0,0.0,1.0,0.0
10,400,4,20,1.079285875,1.187670228391096e-05,0,0.0,1.0,0.0
10,400,4,21,0.888584250000001,7.05071711466095e-05,0,0.0,1.0,0.0
10,400,4,22,0.7707364999999982,1.913276594266315e-05,0,0.0,1.0,0.0
10,400,4,23,0.5179982090000017,3.626423950220951e-05,0,0.0,1.0,0.0
10,400,4,24,1.0242157910000032,8.416931088806636e-05,0,0.0,1.0,0.0
10,400,4,25,0.8163839999999993,8.220820279223434e-05,0,0.0,1.0,0.0
10,400,4,26,0.8511424170000019,6.326623924495807e-05,0,0.0,1.0,0.0
10,400,4,27,0.9638448749999995,2.492040800817224e-05,0,0.0,1.0,0.0
10,400,4,28,1.0024501249999958,6.0630837616960696e-05,0,0.0,1.0,0.0
10,400,4,29,0.8437679580000008,3.305634939862759e-05,0,0.0,1.0,0.0
10,400,4,30,0.2140412079999976,7.804291839139961e-05,0,0.0,1.0,0.0
15,400,4,1,1.7012532500000006,0.0,0,0.0,1.0,0.0
15,400,4,2,3.2178639170000025,7.571024025898517e-08,0,0.0,1.0,0.0
15,400,4,3,0.929651750000005,1.5261353292581128e-08,0,0.0,1.0,0.0
15,400,4,4,1.5192942090000017,1.9217969344998363e-06,0,0.0,1.0,0.0
15,400,4,5,1.5449827079999991,1.2401881694061614e-06,0,0.0,1.0,0.0
15,400,4,6,2.576301665999999,8.677380085319545e-09,0,0.0,1.0,0.0
15,400,4,7,3.1378144589999977,0.0,2,1.0,0.9166666666666666,0.0
15,400,4,8,2.1767917499999996,1.6920574809078478e-10,0,0.0,1.0,0.0
15,400,4,9,1.0933647499999992,0.0,0,0.0,1.0,0.0
15,400,4,10,1.1154552080000002,1.9330328033051666e-05,2,1.0,0.9166666666666666,0.0
15,400,4,11,1.974065084000003,5.087020983671581e-10,0,0.0,1.0,0.0
15,400,4,12,1.085493999999997,2.0895506909624246e-06,2,1.0,0.9166666666666666,0.0
15,400,4,13,1.6286215000000013,6.5289444651605445e-09,0,0.0,1.0,0.0
15,400,4,14,2.515267708000003,0.0,0,0.0,1.0,0.0
15,400,4,15,1.0015854159999975,5.318925131262396e-07,0,0.0,1.0,0.0
