m,n,alpha,k,lambda,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,4,1,9.210340371976184,0.14240220800000003,0.0,0,0.0,1.0,0.02702666180186754
10,400,4,2,9.210340371976184,0.12544908299999946,3.3528513907524827e-07,0,0.0,1.0,0.02702666180186754
10,400,4,3,9.210340371976184,0.07055495799999978,2.726788023704916e-07,0,0.0,1.0,0.02702666180186754
10,400,4,4,9.210340371976184,0.12261945799999996,0.0,0,0.0,1.0,0.02702666180186754
10,400,4,5,9.210340371976184,0.07950220800000007,0.0,4,1.0,1.0,0.05405332360373508
10,400,4,6,9.210340371976184,0.09912229099999958,3.815332694932661e-07,0,0.0,1.0,0.05405332360373508
10,400,4,7,9.210340371976184,0.17836208299999967,7.373351254054191e-07,0,0.0,1.0,0.02702666180186754
10,400,4,8,9.210340371976184,0.05115770799999986,4.49418880193874e-07,0,0.0,1.0,0.02702666180186754
10,400,4,9,9.210340371976184,0.06414079199999989,1.5046782316265864e-07,0,0.0,1.0,0.02702666180186754
10,400,4,10,9.210340371976184,0.06256458300000034,2.9253253569223796e-07,4,1.0,1.0,0.05405332360373508
10,400,4,11,9.210340371976184,0.10397291600000003,5.907857396728452e-07,0,0.0,1.0,0.05405332360373508
10,400,4,12,9.210340371976184,0.05927491700000065,4.654890519267797e-06,0,0.0,1.0,0.05405332360373508
10,400,4,13,9.210340371976184,0.05418195800000003,4.671525384258049e-07,4,1.0,1.0,0.05405332360373508
10,400,4,14,9.210340371976184,0.11829924999999974,5.698477860213603e-07,4,1.0,1.0,0.08107998540560263
10,400,4,15,9.210340371976184,0.11480433399999956,0.0,0,0.0,1.0,0.05405332360373508
10,400,4,16,9.210340371976184,0.06605945899999988,2.460401661858625e-05,0,0.0,1.0,0.02702666180186754
10,400,4,17,9.210340371976184,0.054760416999999784,1.7525357968391514e-05,4,1.0,1.0,0.08107998540560263
10,400,4,18,9.210340371976184,0.10254845800000023,1.8569294775539313e-07,4,1.0,1.0,0.05405332360373508
10,400,4,19,9.210340371976184,0.07437920899999995,2.037674792588729e-07,0,0.0,1.0,0.02702666180186754
10,400,4,20,9.210340371976184,0.07388095899999936,3.173945779313991e-07,0,0.0,1.0,0.05405332360373508
10,400,4,21,9.210340371976184,0.07101875000000035,3.91705368891456e-07,0,0.0,1.0,0.02702666180186754
10,400,4,22,9.210340371976184,0.07021437499999905,1.540908949712197e-07,4,1.0,1.0,0.08107998540560263
10,400,4,23,9.210340371976184,0.09075695800000005,2.953341461686039e-07,0,0.0,1.0,0.05405332360373508
10,400,4,24,9.210340371976184,0.11062599999999989,9.206537746212957e-07,0,0.0,1.0,0.02702666180186754
10,400,4,25,9.210340371976184,0.06244087500000006,3.608909655779025e-07,0,0.0,1.0,0.05405332360373508
10,400,4,26,9.210340371976184,0.11075262499999994,8.233118760972398e-07,0,0.0,1.0,0.05405332360373508
10,400,4,27,9.210340371976184,0.0672805830000005,2.6589923647246174e-07,4,1.0,1.0,0.05405332360373508
10,400,4,28,9.210340371976184,0.15072745800000042,4.0621308166963295e-07,0,0.0,1.0,0.05405332360373508
10,400,4,29,9.210340371976184,0.11232791599999992,2.7841970163546334e-07,4,1.0,1.0,0.08107998540560263
10,400,4,30,9.210340371976184,0.08456145800000137,6.154872083547691e-07,0,0.0,1.0,0.02702666180186754
15,400,4,1,10.83220080440884,0.20179437500000041,5.389971522625251e-07,9,3.0,1.0,0.07526841253541647
15,400,4,2,10.83220080440884,0.1779519580000013,8.141193675321719e-07,13,5.0,1.0,0.11827893398422588
15,400,4,3,10.83220080440884,0.1511105420000014,5.209714584556516e-07,8,3.0,1.0,0.08602104289761883
15,400,4,4,10.83220080440884,0.17864016700000107,6.275858273775637e-07,12,4.0,1.0,0.10752630362202353
15,400,4,5,10.83220080440884,0.20295062499999972,7.307895039358348e-07,12,4.0,1.0,0.10752630362202353
15,400,4,6,10.83220080440884,0.17692366600000042,3.610315789536037e-07,12,4.0,1.0,0.10752630362202353
15,400,4,7,10.83220080440884,0.16039841699999968,6.73700977142417e-07,12,4.0,1.0,0.10752630362202353
15,400,4,8,10.83220080440884,0.3218683329999994,8.700992268498102e-07,13,5.0,1.0,0.11827893398422588
15,400,4,9,10.83220080440884,0.36471512500000003,4.4258415235263555e-07,13,5.0,1.0,0.11827893398422588
15,400,4,10,10.83220080440884,0.276985625,6.267599372672048e-07,12,4.0,1.0,0.10752630362202353
15,400,4,11,10.83220080440884,0.3360763339999995,5.232693900420074e-07,12,4.0,1.0,0.10752630362202353
15,400,4,12,10.83220080440884,0.19347591700000066,3.5014076214098e-07,12,4.0,1.0,0.10752630362202353
15,400,4,13,10.83220080440884,0.32509116700000007,7.088937481589821e-07,11,4.0,1.0,0.09677367325982118
