"m","alpha","k","time","d_cpdag","TPR","FPR"
10,4,1,0.013667106628418,0,1,0
10,4,2,0.00504493713378906,0,1,0
10,4,3,0.00514793395996094,0,1,0
10,4,4,0.00508308410644531,0,1,0
10,4,5,0.00506401062011719,0,1,0
10,4,6,0.00510787963867188,0,1,0
10,4,7,0.0050358772277832,0,1,0
10,4,8,0.00504708290100098,0,1,0
10,4,9,0.00519990921020508,0,1,0
10,4,10,0.0051729679107666,4,1,0.0465116279069767
10,4,11,0.00501799583435059,0,1,0
10,4,12,0.00526094436645508,0,1,0
10,4,13,0.00499415397644043,0,1,0
10,4,14,0.00516700744628906,0,1,0
10,4,15,0.00525498390197754,0,1,0
10,4,16,0.00515413284301758,0,1,0
10,4,17,0.00536394119262695,0,1,0
10,4,18,0.0258371829986572,2,0.857142857142857,0
10,4,19,0.00518798828125,0,1,0
10,4,20,0.0050499439239502,0,1,0
10,4,21,0.00498604774475098,0,1,0
10,4,22,0.00501704216003418,0,1,0
10,4,23,0.00578188896179199,0,1,0
10,4,24,0.00547695159912109,0,1,0
10,4,25,0.00618982315063477,0,1,0
10,4,26,0.00524115562438965,0,1,0
10,4,27,0.00502514839172363,0,1,0
10,4,28,0.0052189826965332,0,1,0
10,4,29,0.00502586364746094,0,1,0
10,4,30,0.00495505332946777,0,1,0
15,4,1,0.00591397285461426,0,1,0
15,4,2,0.00585699081420898,0,1,0
15,4,3,0.00593805313110352,0,1,0
15,4,4,0.0059051513671875,0,1,0
15,4,5,0.0060420036315918,0,1,0
15,4,6,0.0059361457824707,3,0.88235294117647,0.00476190476190476
15,4,7,0.00602507591247559,1,1,0.00480769230769231
15,4,8,0.0060269832611084,0,1,0
15,4,9,0.00582504272460938,0,1,0
15,4,10,0.00590109825134277,2,0.88235294117647,0
15,4,11,0.00596213340759277,2,0.941176470588235,0.00478468899521531
15,4,12,0.00608611106872559,0,1,0
15,4,13,0.00595211982727051,0,1,0
15,4,14,0.00601506233215332,0,1,0
15,4,15,0.00616192817687988,0,1,0
15,4,16,0.00617194175720215,2,0.941176470588235,0.00478468899521531
15,4,17,0.00583314895629883,0,1,0
15,4,18,0.00591087341308594,0,1,0
15,4,19,0.005950927734375,0,1,0
15,4,20,0.00604104995727539,0,1,0
15,4,21,0.00584101676940918,3,0.88235294117647,0.00476190476190476
15,4,22,0.00614213943481445,0,1,0
15,4,23,0.00607585906982422,4,0.823529411764706,0.004739336492891
15,4,24,0.00597882270812988,0,1,0
15,4,25,0.00605893135070801,2,0.88235294117647,0
15,4,26,0.00660920143127441,1,1,0.00480769230769231
15,4,27,0.00626182556152344,2,0.941176470588235,0.00478468899521531
15,4,28,0.00604915618896484,0,1,0
15,4,29,0.0058891773223877,2,0.88235294117647,0
15,4,30,0.00589609146118164,0,1,0
20,4,1,0.00770902633666992,2,0.958333333333333,0.0026525198938992
20,4,2,0.00729799270629883,0,1,0
20,4,3,0.00695991516113281,0,1,0
20,4,4,0.0069429874420166,3,0.916666666666667,0.00264550264550265
20,4,5,0.00699114799499512,0,1,0
20,4,6,0.00711703300476074,0,1,0
20,4,7,0.00710892677307129,0,1,0
20,4,8,0.235267162322998,0,1,0
20,4,9,0.00715398788452148,0,1,0
20,4,10,0.00690102577209473,2,0.916666666666667,0
20,4,11,0.00707101821899414,0,1,0
20,4,12,0.00727701187133789,0,1,0
20,4,13,0.00721907615661621,0,1,0
20,4,14,0.0076758861541748,1,1,0.00265957446808511
20,4,15,0.00743794441223145,0,1,0
20,4,16,0.00766110420227051,0,1,0
20,4,17,0.0072929859161377,11,0.666666666666667,0.0078125
20,4,18,0.00716114044189453,0,1,0
20,4,19,0.00676202774047852,2,0.916666666666667,0
20,4,20,0.00705885887145996,2,0.958333333333333,0.0026525198938992
20,4,21,0.00695490837097168,3,0.916666666666667,0.00264550264550265
20,4,22,0.00733494758605957,8,0.791666666666667,0.0078740157480315
20,4,23,0.00702595710754395,0,1,0
20,4,24,0.0072181224822998,3,0.916666666666667,0.00264550264550265
20,4,25,0.0070960521697998,0,1,0
20,4,26,0.00694680213928223,0,1,0
20,4,27,0.00708913803100586,12,0.666666666666667,0.0104166666666667
20,4,28,0.00711512565612793,0,1,0
20,4,29,0.0069420337677002,0,1,0
20,4,30,0.00691699981689453,0,1,0
