"m","alpha","k","time","d_cpdag","TPR","FPR"
10,4,1,0.0318691730499268,2,1,0.0232558139534884
10,4,2,0.00498509407043457,4,0.857142857142857,0.0227272727272727
10,4,3,0.00550603866577148,2,1,0.0232558139534884
10,4,4,0.00458383560180664,2,1,0.0232558139534884
10,4,5,0.00458192825317383,4,0.857142857142857,0.0227272727272727
10,4,6,0.00468897819519043,2,1,0.0232558139534884
10,4,7,0.00415492057800293,4,0.857142857142857,0.0227272727272727
10,4,8,0.00536203384399414,2,1,0.0232558139534884
10,4,9,0.00902819633483887,4,0.857142857142857,0.0227272727272727
10,4,10,0.00413894653320312,2,1,0.0232558139534884
10,4,11,0.00383496284484863,4,0.857142857142857,0.0227272727272727
10,4,12,0.00381803512573242,2,0.928571428571429,0.0114942528735632
10,4,13,0.00403618812561035,4,0.857142857142857,0.0227272727272727
10,4,14,0.00427985191345215,4,0.857142857142857,0.0227272727272727
10,4,15,0.00431203842163086,2,1,0.0232558139534884
10,4,16,0.00411605834960938,2,1,0.0232558139534884
10,4,17,0.00404596328735352,2,1,0.0232558139534884
10,4,18,0.00398993492126465,2,1,0.0232558139534884
10,4,19,0.00403499603271484,2,1,0.0232558139534884
10,4,20,0.00618505477905273,2,1,0.0232558139534884
10,4,21,0.00465106964111328,2,1,0.0232558139534884
10,4,22,0.00480794906616211,2,1,0.0232558139534884
10,4,23,0.00409793853759766,2,1,0.0232558139534884
10,4,24,0.00409293174743652,2,1,0.0232558139534884
10,4,25,0.00552201271057129,2,0.928571428571429,0.0114942528735632
10,4,26,0.00407505035400391,2,1,0.0232558139534884
10,4,27,0.00392723083496094,2,0.928571428571429,0.0114942528735632
10,4,28,0.0041048526763916,2,1,0.0232558139534884
10,4,29,0.00395607948303223,2,1,0.0232558139534884
10,4,30,0.00400590896606445,2,1,0.0232558139534884
15,4,1,0.00598812103271484,11,0.764705882352941,0.0330188679245283
15,4,2,0.00597691535949707,11,0.764705882352941,0.0330188679245283
15,4,3,0.00601887702941895,11,0.764705882352941,0.0330188679245283
15,4,4,0.00618910789489746,11,0.764705882352941,0.0330188679245283
15,4,5,0.00638794898986816,11,0.764705882352941,0.0330188679245283
15,4,6,0.00592589378356934,11,0.764705882352941,0.0330188679245283
