m,alpha,k,time,d_cpdag,SHD,SHDs,TPR,FPR
10,4,1,0.650187016,6,3,2,1,0.02173913
10,4,2,0.345689058,6,4,3,0.875,0.02173913
10,4,3,0.298794985,7,6,4,1,0.043478261
10,4,4,0.226711035,4,2,1,1,0.010869565
10,4,5,0.216587782,6,4,2,1,0.02173913
10,4,6,0.202968121,6,4,2,1,0.02173913
10,4,7,0.290367842,8,5,4,1,0.043478261
10,4,8,0.65436101,6,5,3,1,0.032608696
10,4,9,0.172280073,2,3,1,1,0.010869565
10,4,10,0.213487864,7,5,3,1,0.032608696
15,4,1,0.36597991,11,8,6,1,0.028169014
15,4,2,0.413919926,5,8,4,1,0.018779343
15,4,3,0.359992981,17,13,10,1,0.046948357
15,4,4,0.334017038,11,10,7,1,0.03286385
15,4,5,0.395001888,14,13,8,1,0.037558685
15,4,6,0.38635087,17,14,11,1,0.051643192
15,4,7,0.404309034,14,14,10,1,0.046948357
15,4,8,0.43838191,8,8,4,1,0.018779343
15,4,9,0.373023987,4,4,2,1,0.009389671
15,4,10,0.401505947,7,7,4,0.916666667,0.014084507
20,4,1,0.652369022,25,16,12,0.9375,0.028645833
20,4,2,0.747960806,20,12,8,1,0.020833333
20,4,3,0.751430035,29,17,13,1,0.033854167
20,4,4,0.882803917,37,25,21,1,0.0546875
20,4,5,0.719958067,24,17,12,1,0.03125
20,4,6,0.858152151,25,17,13,0.9375,0.03125
20,4,7,0.816832066,26,17,13,0.9375,0.03125
20,4,8,0.750004053,24,17,13,0.875,0.028645833
20,4,9,0.719565868,27,17,13,1,0.033854167
20,4,10,0.797476053,41,29,24,1,0.0625
