"m","alpha","k","time","d_cpdag","SHD","SHDs","TPR","FPR"
10,4,1,0.662493944168091,11,5,4,1,0.0434782608695652
10,4,2,0.588524103164673,6,4,3,0.875,0.0217391304347826
10,4,3,0.28752589225769,5,4,3,1,0.0326086956521739
10,4,4,0.289665937423706,2,2,1,1,0.0108695652173913
10,4,5,0.303439855575562,8,6,5,1,0.0543478260869565
10,4,6,0.26762318611145,7,5,3,1,0.0326086956521739
10,4,7,0.279798984527588,8,5,4,1,0.0434782608695652
10,4,8,0.277850151062012,7,5,4,1,0.0434782608695652
10,4,9,0.287412166595459,1,2,1,1,0.0108695652173913
10,4,10,0.241801023483276,4,3,2,1,0.0217391304347826
15,4,1,0.518008947372437,11,9,5,1,0.0234741784037559
15,4,2,0.560787916183472,8,7,2,1,0.00938967136150235
15,4,3,0.495790958404541,16,13,8,1,0.0375586854460094
15,4,4,0.610282897949219,22,17,11,1,0.0516431924882629
15,4,5,0.52487301826477,15,12,7,1,0.0328638497652582
15,4,6,0.600963115692139,23,19,13,1,0.0610328638497653
15,4,7,0.478286981582642,14,13,8,1,0.0375586854460094
15,4,8,0.558985948562622,22,17,11,1,0.0516431924882629
15,4,9,0.518839836120605,11,9,4,1,0.0187793427230047
15,4,10,0.528762102127075,17,14,8,0.916666666666667,0.0328638497652582
20,4,1,0.988041877746582,22,15,9,1,0.0234375
20,4,2,1.15633082389832,20,15,9,1,0.0234375
20,4,3,1.15049695968628,26,16,10,1,0.0260416666666667
20,4,4,1.84835195541382,36,26,22,1,0.0572916666666667
20,4,5,1.52623081207275,28,16,11,1,0.0286458333333333
20,4,6,1.40513586997986,21,15,10,0.9375,0.0234375
20,4,7,1.59553599357605,23,15,11,0.9375,0.0260416666666667
20,4,8,2.46581697463989,27,18,12,1,0.03125
20,4,9,1.41762399673462,24,15,9,1,0.0234375
20,4,10,1.70474481582642,35,25,19,1,0.0494791666666667
