"m","alpha","k","time","d_cpdag","SHD","SHDs","TPR","FPR"
10,4,1,0.102234125137329,0,1,0,1,0
10,4,2,0.0109138488769531,2,2,1,0.875,0
10,4,3,0.00812387466430664,2,2,1,0.875,0
10,4,4,0.0201239585876465,0,1,0,1,0
10,4,5,0.00737285614013672,4,3,2,0.875,0.0108695652173913
10,4,6,0.00597691535949707,0,2,0,1,0
10,4,7,0.00760602951049805,2,2,1,0.875,0
10,4,8,0.00682401657104492,0,1,0,1,0
10,4,9,0.00399994850158691,2,2,1,0.875,0
10,4,10,0.00658297538757324,0,1,0,1,0
15,4,1,0.0156900882720947,4,5,1,1,0.00469483568075117
15,4,2,0.0144021511077881,6,6,1,1,0.00469483568075117
15,4,3,0.014923095703125,12,10,5,0.916666666666667,0.0187793427230047
15,4,4,0.0153911113739014,14,11,5,0.916666666666667,0.0187793427230047
15,4,5,0.0119678974151611,6,6,1,1,0.00469483568075117
15,4,6,0.012624979019165,12,11,5,0.916666666666667,0.0187793427230047
15,4,7,0.0121510028839111,12,9,4,0.833333333333333,0.00938967136150235
15,4,8,0.0142199993133545,14,12,6,0.833333333333333,0.0187793427230047
15,4,9,0.0143561363220215,6,6,1,1,0.00469483568075117
15,4,10,0.0168149471282959,12,10,4,0.916666666666667,0.0140845070422535
20,4,1,0.0266690254211426,17,10,6,0.875,0.0104166666666667
20,4,2,0.069007158279419,17,10,6,0.875,0.0104166666666667
20,4,3,0.0354020595550537,16,10,5,0.9375,0.0104166666666667
20,4,4,0.022676944732666,15,9,5,0.9375,0.0104166666666667
20,4,5,0.0230100154876709,14,10,5,0.875,0.0078125
20,4,6,0.0266001224517822,18,11,7,0.8125,0.0104166666666667
20,4,7,0.0859179496765137,11,8,4,0.9375,0.0078125
20,4,8,0.0323410034179688,16,10,5,0.875,0.0078125
20,4,9,0.0239181518554688,15,10,5,0.9375,0.0104166666666667
20,4,10,0.0211968421936035,19,11,7,0.8125,0.0104166666666667
