m,k,alpha,d_cpdag,TPR,FPR,Time
10,1,4,2,1.0,0.0,0.006615877151489258
10,2,4,4,0.875,0.0,0.005673885345458984
10,3,4,4,0.875,0.0,0.0060939788818359375
10,4,4,2,1.0,0.0,0.0064411163330078125
10,5,4,4,0.875,0.0,0.006139278411865234
10,6,4,2,1.0,0.0,0.00801992416381836
10,7,4,4,0.875,0.0,0.005852222442626953
10,8,4,0,1.0,0.0,0.00688934326171875
10,9,4,4,0.875,0.0,0.006148099899291992
10,10,4,0,1.0,0.0,0.005261659622192383
15,1,4,11,1.0,0.0,0.009129047393798828
15,2,4,2,1.0,0.0,0.010279178619384766
15,3,4,7,0.9166666666666666,0.0,0.009169816970825195
15,4,4,9,0.9166666666666666,0.0,0.012650012969970703
15,5,4,5,1.0,0.0,0.010324239730834961
15,6,4,4,1.0,0.010752688172043012,0.009992122650146484
15,7,4,8,0.8333333333333334,0.0,0.008107900619506836
15,8,4,5,1.0,0.0,0.011388301849365234
15,9,4,5,1.0,0.0,0.009949922561645508
15,10,4,7,0.9166666666666666,0.0,0.00824594497680664
20,1,4,12,0.9375,0.017241379310344827,0.012813806533813477
20,2,4,17,0.8125,0.005747126436781609,0.017668962478637695
20,3,4,15,0.9375,0.005747126436781609,0.014659881591796875
20,4,4,22,0.9375,0.040229885057471264,0.011872053146362305
20,5,4,7,0.9375,0.005747126436781609,0.013952970504760742
20,6,4,19,0.8125,0.028735632183908046,0.011065959930419922
20,7,4,14,0.9375,0.011494252873563218,0.010589122772216797
20,8,4,18,0.875,0.017241379310344827,0.011067867279052734
20,9,4,16,0.9375,0.011494252873563218,0.012577056884765625
20,10,4,15,0.875,0.017241379310344827,0.011852741241455078
