m,n,alpha,k,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,4,1,0.8181662089999997,3.472326141882125e-05,0,0.0,1.0,0.0
10,400,4,2,0.37378716700000014,1.0297567648226948e-05,0,0.0,1.0,0.0
10,400,4,3,0.6650913330000003,1.3249984353336899e-05,0,0.0,1.0,0.0
10,400,4,4,0.6296989159999997,2.022692630823695e-06,0,0.0,1.0,0.0
10,400,4,5,0.39914587499999943,0.0,0,0.0,1.0,0.0
10,400,4,6,1.1425410419999995,2.8012663930990022e-05,0,0.0,1.0,0.0
10,400,4,7,0.9352643750000009,4.53533607736009e-05,0,0.0,1.0,0.0
10,400,4,8,0.9768992920000006,1.0099969496805708e-06,0,0.0,1.0,0.0
10,400,4,9,1.1512655410000008,4.119734923506241e-05,0,0.0,1.0,0.0
10,400,4,10,0.8749135419999998,3.8415088535137154e-07,0,0.0,1.0,0.0
15,400,4,1,1.851136875,0.0,0,0.0,1.0,0.0
15,400,4,2,3.364311625000001,7.571024025898517e-08,0,0.0,1.0,0.0
15,400,4,3,0.9197230419999975,1.5261353292581128e-08,0,0.0,1.0,0.0
15,400,4,4,1.5468337500000011,1.9217969344998363e-06,0,0.0,1.0,0.0
15,400,4,5,1.6251722080000022,1.2401881694061614e-06,0,0.0,1.0,0.0
15,400,4,6,2.6676508329999997,8.677380085319545e-09,0,0.0,1.0,0.0
15,400,4,7,3.5760014590000004,0.0,2,1.0,0.9166666666666666,0.0
15,400,4,8,2.4110258329999965,1.6920574809078478e-10,0,0.0,1.0,0.0
15,400,4,9,1.1447195000000008,0.0,0,0.0,1.0,0.0
15,400,4,10,1.2622767079999946,1.9330328033051666e-05,2,1.0,0.9166666666666666,0.0
20,400,4,1,8.746184834000005,5.3461143278234445e-09,0,0.0,1.0,0.0
20,400,4,2,10.236604166000006,3.239789595806312e-09,0,0.0,1.0,0.0
20,400,4,3,41.471885417,0.0,0,0.0,1.0,0.0
20,400,4,4,23.420710083000003,2.8906247299202594e-05,0,0.0,1.0,0.0
20,400,4,5,52.76430941699999,0.0,0,0.0,1.0,0.0
20,400,4,6,33.226933583000005,7.873936062244233e-05,0,0.0,1.0,0.0
20,400,4,7,6.535149208000007,5.619910104559078e-06,0,0.0,1.0,0.0
20,400,4,8,8.896501874999984,1.8158380154100893e-07,0,0.0,1.0,0.0
20,400,4,9,32.17612004200001,6.74575487094046e-05,0,0.0,1.0,0.0
20,400,4,10,76.50103220799997,2.0478880539662207e-05,2,0.0,1.0,0.0
