m,n,alpha,k,lambda,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,4,1,9.210340371976184,0.25260995899999905,0.00044770868181154706,4,1.0,1.0,0.08107998540560263
10,400,4,2,9.210340371976184,0.22492829099999945,3.3528513907524827e-07,0,0.0,1.0,0.02702666180186754
10,400,4,3,9.210340371976184,0.19287883299999997,0.00010906488520447115,0,0.0,1.0,0.02702666180186754
10,400,4,4,9.210340371976184,0.2954961669999996,0.0,0,0.0,1.0,0.02702666180186754
10,400,4,5,9.210340371976184,0.3780335420000007,3.1988917683253226e-05,0,0.0,1.0,0.02702666180186754
10,400,4,6,9.210340371976184,0.23500375000000062,0.00022795041708326835,0,0.0,1.0,0.05405332360373508
10,400,4,7,9.210340371976184,0.24205616699999943,0.00010279352166665363,0,0.0,1.0,0.02702666180186754
10,400,4,8,9.210340371976184,0.22394833299999917,0.00639763874799074,0,0.0,1.0,0.02702666180186754
10,400,4,9,9.210340371976184,0.16332841700000067,0.0027217032886809535,0,0.0,1.0,0.02702666180186754
10,400,4,10,9.210340371976184,0.2724137080000002,0.006069736457730576,4,1.0,1.0,0.05405332360373508
15,400,4,1,10.83220080440884,0.47334970800000065,0.0026908911943138666,13,5.0,1.0,0.10752630362202353
15,400,4,2,10.83220080440884,0.4165227500000004,0.00283930767604174,9,3.0,1.0,0.08602104289761883
15,400,4,3,10.83220080440884,0.4472441249999992,5.209714584556516e-07,8,3.0,1.0,0.08602104289761883
15,400,4,4,10.83220080440884,0.3771940409999992,0.00314774457593363,12,4.0,1.0,0.10752630362202353
15,400,4,5,10.83220080440884,0.6517689160000018,0.0028420376401191616,12,4.0,1.0,0.10752630362202353
15,400,4,6,10.83220080440884,0.5238822499999998,8.089940967603294e-06,12,4.0,1.0,0.10752630362202353
15,400,4,7,10.83220080440884,0.4737811249999986,0.005234934051674388,13,4.0,1.0,0.09677367325982118
15,400,4,8,10.83220080440884,0.6508514170000019,3.307577930654612e-05,12,4.0,1.0,0.10752630362202353
15,400,4,9,10.83220080440884,0.4543917499999992,0.006352341648349334,10,4.0,1.0,0.08602104289761883
15,400,4,10,10.83220080440884,0.4921752919999989,0.0019881772419006994,8,3.0,1.0,0.08602104289761883
20,400,4,1,11.982929094215963,0.5914154170000003,0.00017295346407772828,15,5.0,1.0,0.05172398929888133
20,400,4,2,11.982929094215963,1.0978453329999986,0.0016044652413340088,12,4.0,1.0,0.0459768793767834
20,400,4,3,11.982929094215963,2.028856749999999,0.005670995858648918,14,5.0,1.0,0.0459768793767834
20,400,4,4,11.982929094215963,0.8286401670000032,4.381466946114071e-06,12,5.0,1.0,0.040229769454685475
20,400,4,5,11.982929094215963,1.0346830000000011,0.004455158761483282,12,4.0,0.9375,0.040229769454685475
20,400,4,6,11.982929094215963,0.9226407079999994,0.0002783104145932879,14,5.0,0.9375,0.0459768793767834
20,400,4,7,11.982929094215963,2.8477013749999998,0.00726027122214016,13,4.0,1.0,0.0459768793767834
20,400,4,8,11.982929094215963,0.9553377500000053,0.00304690529327813,15,5.0,0.9375,0.0459768793767834
20,400,4,9,11.982929094215963,0.9084459170000017,0.005205002135480982,18,6.0,1.0,0.06321820914307717
20,400,4,10,11.982929094215963,1.8780461659999972,8.631236111387607e-07,16,5.0,1.0,0.05747109922097925
