"m","alpha","k","time","d_cpdag","TPR","FPR"
10,4,1,0.0106940269470215,0,1,0
10,4,2,0.00575613975524902,0,1,0
10,4,3,0.0072169303894043,0,1,0
10,4,4,0.00581908226013184,0,1,0
10,4,5,0.00603318214416504,0,1,0
10,4,6,0.00535988807678223,0,1,0
10,4,7,0.00794792175292969,0,1,0
10,4,8,0.00710082054138184,0,1,0
10,4,9,0.00771498680114746,0,1,0
10,4,10,0.00603890419006348,4,1,0.0465116279069767
15,4,1,0.00560784339904785,0,1,0
15,4,2,0.00740480422973633,0,1,0
15,4,3,0.0111360549926758,0,1,0
15,4,4,0.00571990013122559,0,1,0
15,4,5,0.00832295417785645,0,1,0
15,4,6,0.0049288272857666,3,0.88235294117647,0.00476190476190476
15,4,7,0.0369369983673096,1,1,0.00480769230769231
15,4,8,0.00981998443603516,0,1,0
15,4,9,0.0112318992614746,0,1,0
15,4,10,0.00990104675292969,2,0.88235294117647,0
20,4,1,0.00591778755187988,2,0.958333333333333,0.0026525198938992
20,4,2,0.00623512268066406,0,1,0
20,4,3,0.00826883316040039,0,1,0
20,4,4,0.00836610794067383,3,0.916666666666667,0.00264550264550265
20,4,5,0.0127699375152588,0,1,0
20,4,6,0.0194740295410156,0,1,0
20,4,7,0.00768184661865234,0,1,0
20,4,8,0.00939297676086426,0,1,0
20,4,9,0.00592398643493652,0,1,0
20,4,10,0.00756096839904785,2,0.916666666666667,0
