"m","alpha","k","time","d_cpdag","TPR","FPR"
10,4,1,0.0271711349487305,2,1,0.0232558139534884
10,4,2,0.00539112091064453,4,0.857142857142857,0.0227272727272727
10,4,3,0.00819993019104004,2,1,0.0232558139534884
10,4,4,0.00519895553588867,2,1,0.0232558139534884
10,4,5,0.00598788261413574,4,0.857142857142857,0.0227272727272727
10,4,6,0.00713515281677246,2,1,0.0232558139534884
10,4,7,0.00614285469055176,4,0.857142857142857,0.0227272727272727
10,4,8,0.0114319324493408,2,1,0.0232558139534884
10,4,9,0.00975894927978516,4,0.857142857142857,0.0227272727272727
10,4,10,0.00408387184143066,2,1,0.0232558139534884
15,4,1,0.0101001262664795,11,0.764705882352941,0.0330188679245283
15,4,2,0.0141170024871826,11,0.764705882352941,0.0330188679245283
15,4,3,0.0159790515899658,11,0.764705882352941,0.0330188679245283
15,4,4,0.0114519596099854,11,0.764705882352941,0.0330188679245283
15,4,5,0.0111620426177979,11,0.764705882352941,0.0330188679245283
15,4,6,0.0175302028656006,11,0.764705882352941,0.0330188679245283
15,4,7,0.0085761547088623,11,0.764705882352941,0.0330188679245283
15,4,8,0.0138959884643555,11,0.764705882352941,0.0330188679245283
15,4,9,0.0128211975097656,11,0.764705882352941,0.0330188679245283
15,4,10,0.00806808471679688,13,0.588235294117647,0.027906976744186
20,4,1,0.0127890110015869,16,0.666666666666667,0.0208333333333333
20,4,2,0.00974798202514648,16,0.666666666666667,0.0208333333333333
20,4,3,0.00861310958862305,14,0.75,0.0209424083769634
20,4,4,0.0106279850006104,14,0.75,0.0209424083769634
20,4,5,0.00943183898925781,14,0.75,0.0209424083769634
20,4,6,0.0108010768890381,14,0.75,0.0209424083769634
20,4,7,0.0070500373840332,16,0.666666666666667,0.0208333333333333
20,4,8,0.00854277610778809,16,0.625,0.0181818181818182
20,4,9,0.00902199745178223,14,0.708333333333333,0.0182767624020888
20,4,10,0.00857210159301758,14,0.75,0.0209424083769634
