m,n,k,tau,Time,GAP,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,1,0,0.6567247,1.01E-07,9.87E-09,3,1,1,0.027027027
10,400,2,0,0.5989239,0.000621852,6.44E-05,0,0,1,0
10,400,3,0,0.5400944,6.37E-05,6.61E-06,0,0,1,0
10,400,4,0,1.5062529,0.000103549,1.13E-05,0,0,1,0
10,400,5,0,1.399614,0.000559817,5.79E-05,0,0,1,0
10,400,6,0,0.5821649,0.000181343,1.90E-05,0,0,1,0
10,400,7,0,0.8259812,0.000882247,9.28E-05,0,0,1,0
10,400,8,0,1.5708852,-3.55E-15,0,3,1,1,0.027027027
10,400,9,0,0.5927054,0.000890324,9.66E-05,0,0,1,0
10,400,10,0,1.4984978,0.000797735,8.00E-05,0,0,1,0
20,400,1,0,187.8547301,7.11E-15,0,0,0,1,0
20,400,2,0,55.0864236,0.000495974,2.88E-05,0,0,1,0
20,400,3,0,88.1370585,3.55E-15,0,0,0,1,0
20,400,4,0,191.6749131,1.74E-05,1.01E-06,2,1,1,0.005747126
20,400,5,0,22.0148731,0.00039659,2.24E-05,0,0,1,0
20,400,6,0,87.8695779,-3.55E-15,0,0,0,1,0
20,400,7,0,96.8463075,7.11E-15,0,2,1,1,0.005747126
20,400,8,0,191.6801658,0,0,2,1,1,0.005747126
20,400,9,0,53.5132457,0.000781175,4.59E-05,0,0,1,0
20,400,10,0,95.4946079,4.56E-05,2.56E-06,6,3,1,0.017241379
30,400,1,0,1500.125052,2.544250032,0.092197391,9,2,1,0.00486618
30,400,2,0,1500.111572,1.536688,0.056175859,1,1,1,0.00243309
30,400,3,0,1500.224437,1.894695826,0.06944032,2,1,1,0.00243309
30,400,4,0,1503.44576,1.820533869,0.067168758,8,2,1,0.00486618
30,400,5,0,1500.106676,2.075333035,0.074826384,0,0,1,0
30,400,6,0,1500.191518,1.173696102,0.043183827,0,0,1,0
30,400,7,0,1500.107611,2.381871758,0.086628717,9,2,1,0.00486618
30,400,8,0,1500.060851,1.971909523,0.071041174,0,0,1,0
30,400,9,0,1500.145508,2.529633241,0.094627432,4,1,1,0.00243309
30,400,10,0,1500.141179,1.99226635,0.072203319,7,2,1,0.00486618
40,400,1,0,2000.299982,2.977766939,0.087758455,14,4,1,0.005347594
40,400,2,0,2000.155179,4.250865358,0.124687118,14,4,1,0.005347594
40,400,3,0,2000.265311,3.505272683,0.102550038,7,1,1,0.001336898
40,400,4,0,2000.413498,4.683185688,0.13835474,17,5,1,0.006684492
40,400,5,0,2000.496011,4.575906285,0.133134032,15,3,1,0.004010695
40,400,6,0,2000.321731,2.86170986,0.084678513,9,2,1,0.002673797
40,400,7,0,2000.555023,5.051321624,0.146654913,8,2,1,0.002673797
40,400,8,0,2000.235584,4.769531267,0.138255095,8,4,1,0.005347594
40,400,9,0,2000.602615,4.451998125,0.133647534,18,5,1,0.006684492
40,400,10,0,2000.217711,4.292024985,0.125647391,10,4,1,0.005347594
