m,n,k,tau,Time,GAP,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,1,early,0.9723713,0.002572924,0.000251246,4,1,1,0.027027027
10,400,2,early,0.8671318,0.000621852,6.44E-05,0,0,1,0
10,400,3,early,0.7669935,0.003683496,0.000382617,0,0,1,0
10,400,4,early,1.8661256,0.000103549,1.13E-05,0,0,1,0
10,400,5,early,1.9366584,0.000559817,5.79E-05,0,0,1,0
10,400,6,early,0.7474888,0.007367142,0.000773453,0,0,1,0
10,400,7,early,0.9402869,0.000882247,9.28E-05,0,0,1,0
10,400,8,early,2.2825208,0.022051482,0.00219876,0,0,1,0
10,400,9,early,0.7400687,0.001858608,0.000201685,0,0,1,0
10,400,10,early,1.8479476,0.001096609,0.000109929,0,0,1,0
20,400,1,early,67.1443461,0.999404255,0.055229312,0,0,1,0
20,400,2,early,29.9240393,0.99679331,0.057838911,0,0,1,0
20,400,3,early,36.9731225,0.995989539,0.056707225,0,0,1,0
20,400,4,early,160.2211596,0.999226278,0.058195677,2,1,1,0.005747126
20,400,5,early,15.8357203,0.990132209,0.055821193,0,0,1,0
20,400,6,early,31.5858172,0.982143544,0.056404042,0,0,1,0
20,400,7,early,72.9224044,0.996673366,0.05655855,2,1,1,0.005747126
20,400,8,early,51.9568474,0.998510481,0.055684834,2,1,1,0.005747126
20,400,9,early,21.1207296,0.995298355,0.05845615,0,0,1,0
20,400,10,early,60.5398826,0.997446655,0.056019384,7,3,1,0.017241379
30,400,1,early,1500.114537,2.549647636,0.092392987,9,2,1,0.00486618
30,400,2,early,485.2582614,2.249297326,0.082226324,1,1,1,0.00243309
30,400,3,early,594.6403634,2.249122465,0.082430003,2,1,1,0.00243309
30,400,4,early,592.9310279,2.249299442,0.082988099,8,2,1,0.00486618
30,400,5,early,1308.959861,2.249790303,0.081093827,4,1,1,0.00243309
30,400,6,early,135.0708384,2.247850884,0.082698083,5,2,1,0.00486618
30,400,7,early,1500.155613,2.418409372,0.08795759,9,2,1,0.00486618
30,400,8,early,941.7434447,2.249936864,0.081057513,0,0,1,0
30,400,9,early,1500.178252,2.584333511,0.096673636,4,1,1,0.00243309
30,400,10,early,626.0158731,2.249562122,0.081520812,11,3,1,0.00729927
40,400,1,early,521.0310456,3.99943692,0.117868326,14,4,1,0.005347594
40,400,2,early,2000.268443,4.273360167,0.12534694,14,4,1,0.005347594
40,400,3,early,775.7052015,3.999792955,0.117017692,7,1,1,0.001336898
40,400,4,early,2001.489529,4.693303035,0.138612437,25,7,1,0.009358289
40,400,5,early,2000.173242,4.583884023,0.133366141,15,3,1,0.004010695
40,400,6,early,372.4236075,3.998396148,0.118313264,9,2,1,0.002673797
40,400,7,early,2000.299046,5.064969264,0.147051145,8,2,1,0.002673797
40,400,8,early,2000.31667,4.761307465,0.138016711,8,4,1,0.005347594
40,400,9,early,2000.2013,4.5078072,0.135322901,18,5,1,0.006684492
40,400,10,early,2000.582036,4.316102518,0.12635225,10,4,1,0.005347594
