m,n,k,tau,Time,GAP,RGAP,d_cpdag,SHDs,TPR,FPR
10,400,1,early,0.5178669,0.002572924,0.000251246,4,1,1,0.027027027
10,400,2,early,0.5408584,0.000621852,6.44E-05,0,0,1,0
10,400,3,early,0.4394183,0.003683496,0.000382617,0,0,1,0
10,400,4,early,1.2012764,0.000103549,1.13E-05,0,0,1,0
10,400,5,early,0.971999,1.272282078,0.118811984,6,3,0.75,0.027027027
10,400,6,early,0.4407152,0.007367142,0.000773453,0,0,1,0
10,400,7,early,0.5254123,0.000882247,9.28E-05,0,0,1,0
10,400,8,early,1.1661507,0.022051482,0.00219876,0,0,1,0
10,400,9,early,0.4425381,0.001858608,0.000201685,0,0,1,0
10,400,10,early,1.0404449,0.001096609,0.000109929,0,0,1,0
20,400,1,early,11.7538486,8.063641099,0.423025805,13,5,0.875,0.017241379
20,400,2,early,7.8148343,2.969034142,0.162957861,15,5,0.9375,0.022988506
20,400,3,early,12.5661303,4.557350011,0.243714079,19,7,0.875,0.028735632
20,400,4,early,14.0590675,5.579658097,0.32201738,16,5,1,0.028735632
20,400,5,early,7.4407557,1.853414742,0.101264635,21,6,1,0.034482759
20,400,6,early,15.1194124,3.708495413,0.204855943,10,5,0.875,0.017241379
20,400,7,early,9.1479883,7.382802844,0.393458764,16,3,1,0.017241379
20,400,8,early,11.3524985,5.299957847,0.29166924,15,5,1,0.028735632
20,400,9,early,5.7991308,4.607464608,0.255217861,12,3,0.9375,0.011494253
20,400,10,early,7.6319194,6.185704947,0.302067478,18,7,0.8125,0.022988506
30,400,1,early,10.0307358,62.78257998,0.911972545,30,22,0.125,0.00243309
30,400,2,early,47.4452666,12.93181068,0.442881188,27,8,0.916666667,0.01459854
30,400,3,early,34.9554342,14.64535599,0.52829351,10,3,0.958333333,0.00486618
30,400,4,early,47.3338845,16.25241632,0.594108267,25,6,0.958333333,0.01216545
30,400,5,early,78.3856833,12.13355167,0.424847098,21,5,0.958333333,0.00973236
30,400,6,early,37.7671239,6.92186422,0.248233991,24,7,0.958333333,0.01459854
30,400,7,early,30.4473993,15.93852224,0.532772015,30,9,0.875,0.01459854
30,400,8,early,4.5444387,45.42158547,0.724549181,30,15,0.416666667,0.00243309
30,400,9,early,26.1185002,14.74086621,0.521770703,23,7,0.916666667,0.01216545
30,400,10,early,52.2904708,45.03880103,1.53391489,37,11,0.875,0.01946472
40,400,1,early,43.0632386,10.90234466,0.321216168,12,4,1,0.005347594
40,400,2,early,73.1092586,15.39455636,0.430934699,25,6,0.90625,0.004010695
40,400,3,early,74.7958681,9.809187296,0.275616671,43,13,0.90625,0.013368984
40,400,4,early,122.8983694,64.94815564,1.696030757,34,13,0.84375,0.010695187
40,400,5,early,55.320833,116.0315245,3.174331275,28,11,0.90625,0.010695187
40,400,6,early,49.2261332,10.61229746,0.31320542,20,6,1,0.00802139
40,400,7,early,113.2427238,25.6895034,0.745652341,10,3,1,0.004010695
40,400,8,early,10.169495,153.9478226,1.070095979,46,28,0.1875,0.002673797
40,400,9,early,70.9744325,15.68632371,0.457353268,24,7,0.90625,0.005347594
40,400,10,early,51.2326922,23.54373243,0.68104975,37,12,0.96875,0.014705882
