m,alpha,k,Time,d_cpdag,SHD,SHDs,TPR,FPR
10,1,1,0.255472183,6,4,4,1,0.043478261
10,1,2,0.074697018,7,5,3,1,0.032608696
10,1,3,0.080892086,7,5,5,1,0.054347826
10,1,4,0.080055952,14,10,6,1,0.065217391
10,1,5,0.074644089,5,4,3,1,0.032608696
10,1,6,0.081650019,4,2,1,1,0.010869565
10,1,7,0.081987858,13,8,8,1,0.086956522
10,1,8,0.082564831,13,10,7,1,0.076086957
10,1,9,0.075827122,0,1,0,1,0
10,1,10,0.080742121,1,1,1,1,0.010869565
10,1,11,0.079782009,6,4,3,1,0.032608696
10,1,12,0.074397087,10,6,5,1,0.054347826
10,1,13,0.076146126,4,3,2,1,0.02173913
10,1,14,0.079514027,2,1,1,1,0.010869565
10,1,15,0.079576969,9,6,4,1,0.043478261
10,1,16,0.076099157,4,4,3,1,0.032608696
10,1,17,0.086127043,4,3,2,1,0.02173913
10,1,18,0.080049992,7,4,3,1,0.032608696
10,1,19,0.081026077,4,2,2,1,0.02173913
10,1,20,0.073858023,2,2,1,1,0.010869565
10,1,21,0.082062006,2,1,1,1,0.010869565
10,1,22,0.08029294,5,5,4,1,0.043478261
10,1,23,0.074207067,6,3,3,1,0.032608696
10,1,24,0.074448109,14,10,10,1,0.108695652
10,1,25,0.078485012,7,4,4,1,0.043478261
10,1,26,0.093941927,6,2,2,1,0.02173913
10,1,27,0.076182127,3,2,1,1,0.010869565
10,1,28,0.08761096,4,2,2,1,0.02173913
10,1,29,0.083666086,15,10,8,1,0.086956522
10,1,30,0.08131218,5,3,2,1,0.02173913
10,2,1,0.073634148,6,4,3,1,0.032608696
10,2,2,0.083255053,9,8,5,1,0.054347826
10,2,3,0.081687927,6,4,4,1,0.043478261
10,2,4,0.075505018,16,13,9,1,0.097826087
10,2,5,0.074840069,8,4,3,1,0.032608696
10,2,6,0.081336975,2,4,1,1,0.010869565
10,2,7,0.080051899,16,11,9,1,0.097826087
10,2,8,0.075821161,11,10,7,1,0.076086957
10,2,9,0.083367109,0,1,0,1,0
10,2,10,0.081506014,9,5,4,1,0.043478261
10,2,11,0.080223799,4,3,2,1,0.02173913
10,2,12,0.075758934,12,9,7,1,0.076086957
10,2,13,0.082965136,6,4,3,1,0.032608696
10,2,14,0.080801964,7,6,4,1,0.043478261
10,2,15,0.08190608,10,7,4,1,0.043478261
10,2,16,0.074512959,4,4,3,1,0.032608696
10,2,17,0.081370115,4,3,2,1,0.02173913
10,2,18,0.081022978,4,3,2,1,0.02173913
10,2,19,0.075536966,9,6,4,1,0.043478261
10,2,20,0.074351072,2,2,1,1,0.010869565
10,2,21,0.083554983,2,2,1,1,0.010869565
10,2,22,0.079751015,8,6,5,1,0.054347826
10,2,23,0.075477123,9,5,4,1,0.043478261
10,2,24,0.081346989,11,8,7,1,0.076086957
10,2,25,0.093715191,5,4,3,1,0.032608696
10,2,26,0.085319042,6,4,3,1,0.032608696
10,2,27,0.074094057,3,2,1,1,0.010869565
10,2,28,0.083185911,5,4,3,1,0.032608696
10,2,29,0.082109928,12,8,6,1,0.065217391
10,2,30,0.081901073,7,4,3,1,0.032608696
10,4,1,0.074817896,4,2,2,1,0.02173913
10,4,2,0.088238955,4,2,2,1,0.02173913
10,4,3,0.080640078,4,3,2,1,0.02173913
10,4,4,0.081218004,3,2,2,1,0.02173913
10,4,5,0.074120045,6,4,3,1,0.032608696
10,4,6,0.082814217,6,3,3,1,0.032608696
10,4,7,0.082480192,14,10,7,1,0.076086957
10,4,8,0.073122025,3,2,2,1,0.02173913
10,4,9,0.075675011,4,3,2,1,0.02173913
10,4,10,0.079815865,6,5,4,1,0.043478261
10,4,11,0.081202984,7,3,3,1,0.032608696
10,4,12,0.075762033,10,8,5,1,0.054347826
10,4,13,0.083260059,7,5,3,1,0.032608696
10,4,14,0.081489801,4,3,2,1,0.02173913
10,4,15,0.080907106,4,3,2,1,0.02173913
10,4,16,0.073436975,6,5,3,1,0.032608696
10,4,17,0.081121922,8,5,4,1,0.043478261
10,4,18,0.080372095,6,4,4,1,0.043478261
10,4,19,0.082726955,10,6,4,1,0.043478261
10,4,20,0.073469877,0,0,0,1,0
10,4,21,0.08334589,0,0,0,1,0
10,4,22,0.082945108,8,5,4,1,0.043478261
10,4,23,0.083796978,4,3,3,1,0.032608696
10,4,24,0.07438302,10,7,6,1,0.065217391
10,4,25,0.082406998,6,4,3,1,0.032608696
10,4,26,0.080495834,5,4,3,1,0.032608696
10,4,27,0.083220959,4,3,2,1,0.02173913
10,4,28,0.07287693,0,1,0,1,0
10,4,29,0.083001137,10,6,5,1,0.054347826
10,4,30,0.079604864,7,5,5,1,0.054347826
15,1,1,0.135674,15,8,7,1,0.03286385
15,1,2,0.125643969,16,12,10,1,0.046948357
15,1,3,0.126688004,17,12,10,1,0.046948357
15,1,4,0.127127886,10,7,7,1,0.03286385
15,1,5,0.135574102,6,5,5,1,0.023474178
15,1,6,0.128349066,6,4,4,1,0.018779343
15,1,7,0.129091978,21,14,14,1,0.0657277
15,1,8,0.135357857,12,5,5,1,0.023474178
15,1,9,0.125993013,6,4,4,1,0.018779343
15,1,10,0.126587152,12,8,8,1,0.037558685
15,1,11,0.13498497,14,10,8,1,0.037558685
15,1,12,0.128133059,15,10,9,1,0.042253521
15,1,13,0.157320976,6,4,4,1,0.018779343
15,1,14,0.139783859,12,5,5,1,0.023474178
15,1,15,0.128047943,13,11,8,1,0.037558685
15,1,16,0.127556086,2,1,1,1,0.004694836
15,1,17,0.127768993,9,6,6,1,0.028169014
15,1,18,0.249984026,16,9,8,1,0.037558685
15,1,19,0.126533031,5,3,3,1,0.014084507
15,1,20,0.123425007,8,5,5,1,0.023474178
15,1,21,0.123534918,3,2,2,1,0.009389671
15,1,22,0.124650002,17,11,10,1,0.046948357
15,1,23,0.123548031,7,5,4,1,0.018779343
15,1,24,0.186836004,13,10,9,1,0.042253521
15,1,25,0.154202938,11,8,7,1,0.03286385
15,1,26,0.128139973,6,3,3,1,0.014084507
15,1,27,0.125159979,11,10,7,1,0.03286385
15,1,28,0.123241901,7,5,3,1,0.014084507
15,1,29,0.135397911,9,5,5,1,0.023474178
15,1,30,0.123286009,4,2,2,1,0.009389671
15,2,1,0.134320974,16,9,7,1,0.03286385
15,2,2,0.131251097,14,11,8,1,0.037558685
15,2,3,0.125957966,15,11,10,1,0.046948357
15,2,4,0.133349895,15,7,6,1,0.028169014
15,2,5,0.126309872,12,7,7,1,0.03286385
15,2,6,0.126638889,15,9,8,1,0.037558685
15,2,7,0.124161005,19,14,12,1,0.056338028
