m,alpha,k,Time,d_cpdag,SHD,SHDs,TPR,FPR
10,1,1,0.057286024,0,0,0,1,0
10,1,2,0.004772902,0,1,0,1,0
10,1,3,0.002867937,0,0,0,1,0
10,1,4,0.002321959,0,2,0,1,0
10,1,5,0.002520084,0,1,0,1,0
10,1,6,0.00592804,2,2,1,0.875,0
10,1,7,0.002794027,0,1,0,1,0
10,1,8,0.002075911,0,0,0,1,0
10,1,9,0.007386923,0,1,0,1,0
10,1,10,0.001893044,0,0,0,1,0
10,1,11,0.001967907,2,2,1,0.875,0
10,1,12,0.001855135,0,1,0,1,0
10,1,13,0.001847029,0,1,0,1,0
10,1,14,0.001918077,2,1,1,0.875,0
10,1,15,0.001909971,0,1,0,1,0
10,1,16,0.002864122,0,1,0,1,0
10,1,17,0.001786947,2,2,1,1,0.010869565
10,1,18,0.004166842,2,2,1,0.875,0
10,1,19,0.002285004,0,0,0,1,0
10,1,20,0.002249956,0,1,0,1,0
10,1,21,0.001823902,0,0,0,1,0
10,1,22,0.002020121,0,1,0,1,0
10,1,23,0.002295971,0,0,0,1,0
10,1,24,0.002336979,0,0,0,1,0
10,1,25,0.001862049,0,0,0,1,0
10,1,26,0.001723051,0,0,0,1,0
10,1,27,0.001692057,0,1,0,1,0
10,1,28,0.001919985,0,0,0,1,0
10,1,29,0.001660109,2,2,1,0.875,0
10,1,30,0.001821041,0,1,0,1,0
10,2,1,0.002043009,0,1,0,1,0
10,2,2,0.001764059,0,1,0,1,0
10,2,3,0.001752138,0,1,0,1,0
10,2,4,0.001980066,0,2,0,1,0
10,2,5,0.001842022,0,1,0,1,0
10,2,6,0.001774073,2,3,1,0.875,0
10,2,7,0.001846075,2,2,1,0.875,0
10,2,8,0.001796961,0,1,0,1,0
10,2,9,0.001955986,0,1,0,1,0
10,2,10,0.010220051,0,1,0,1,0
10,2,11,0.00174284,2,2,1,0.875,0
10,2,12,0.00198102,2,3,1,1,0.010869565
10,2,13,0.001694918,0,1,0,1,0
10,2,14,0.001749992,2,2,1,0.875,0
10,2,15,0.001891136,0,1,0,1,0
10,2,16,0.00170207,0,1,0,1,0
10,2,17,0.00187397,0,1,0,1,0
10,2,18,0.001820087,0,1,0,1,0
10,2,19,0.001785994,0,1,0,1,0
10,2,20,0.001865149,0,1,0,1,0
10,2,21,0.001842976,0,1,0,1,0
10,2,22,0.001756907,0,1,0,1,0
10,2,23,0.001791954,0,1,0,1,0
10,2,24,0.001914978,0,1,0,1,0
10,2,25,0.001763105,0,1,0,1,0
10,2,26,0.00211215,0,1,0,1,0
10,2,27,0.00180006,0,1,0,1,0
10,2,28,0.001795053,0,1,0,1,0
10,2,29,0.001764059,2,2,1,0.875,0
10,2,30,0.001789093,0,1,0,1,0
10,4,1,0.001747847,2,2,1,0.875,0
10,4,2,0.00206399,2,2,1,0.875,0
10,4,3,0.001725912,2,3,1,0.875,0
10,4,4,0.002082825,2,2,1,0.875,0
10,4,5,0.001965046,4,3,2,0.75,0
10,4,6,0.003407955,2,2,1,0.875,0
10,4,7,0.00188303,2,3,1,0.875,0
10,4,8,0.001810074,4,3,2,0.75,0
10,4,9,0.002444029,2,3,1,0.875,0
10,4,10,0.00186801,2,3,1,0.875,0
10,4,11,0.001777887,2,2,1,0.875,0
