m,n,alpha,k,lambda,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,100,1,1,9.210340372,0.070931334,1.84E-07,0,0,1,0
10,100,1,2,9.210340372,0.038466167,1.71E-07,0,0,1,0.027026662
10,100,1,3,9.210340372,0.068668125,2.39E-07,0,0,1,0
10,100,1,4,9.210340372,0.054142583,1.68E-07,3,1,1,0.081079985
10,100,1,5,9.210340372,0.061935292,1.56E-07,3,1,1,0.054053324
10,100,1,6,9.210340372,0.041946375,1.79E-07,0,0,1,0.027026662
10,100,1,7,9.210340372,0.054107125,1.16E-07,0,0,1,0
10,100,1,8,9.210340372,0.102822458,2.79E-07,0,0,1,0
10,100,1,9,9.210340372,0.048953875,1.13E-07,0,0,1,0.027026662
10,100,1,10,9.210340372,0.123949083,4.73E-07,0,0,1,0
10,100,1,11,9.210340372,0.075709959,5.00E-07,0,0,1,0.027026662
10,100,1,12,9.210340372,0.052206292,9.35E-07,0,0,1,0.027026662
10,100,1,13,9.210340372,0.040781166,3.03E-06,0,0,1,0.027026662
10,100,1,14,9.210340372,0.067939208,5.74E-07,0,0,1,0
10,100,1,15,9.210340372,0.147509792,2.65E-07,0,0,1,0.027026662
10,100,1,16,9.210340372,0.053391166,1.57E-07,0,0,1,0.027026662
10,100,1,17,9.210340372,0.049300333,1.96E-07,0,0,1,0.027026662
10,100,1,18,9.210340372,0.058810541,5.76E-07,4,1,1,0.027026662
10,100,1,19,9.210340372,0.039978208,3.08E-07,0,0,1,0
10,100,1,20,9.210340372,0.076243959,5.07E-07,0,0,1,0.027026662
10,100,1,21,9.210340372,0.107271667,1.66E-06,0,0,1,0
10,100,1,22,9.210340372,0.0420315,0,3,1,1,0.054053324
10,100,1,23,9.210340372,0.042966208,1.54E-06,0,0,1,0
10,100,1,24,9.210340372,0.034213083,3.29E-07,4,1,1,0.027026662
10,100,1,25,9.210340372,0.057162625,4.87E-07,0,0,1,0
10,100,1,26,9.210340372,0.047548791,2.94E-08,0,0,1,0
10,100,1,27,9.210340372,0.0268105,2.45E-07,0,0,1,0.027026662
10,100,1,28,9.210340372,0.053866833,2.05E-07,0,0,1,0
10,100,1,29,9.210340372,0.077744209,5.72E-07,0,0,1,0.027026662
10,100,1,30,9.210340372,0.07163675,6.16E-07,0,0,1,0.027026662
10,100,2,1,9.210340372,0.0339075,7.15E-08,0,0,1,0.027026662
10,100,2,2,9.210340372,0.064004625,6.11E-07,0,0,1,0.027026662
10,100,2,3,9.210340372,0.090880375,4.87E-07,0,0,1,0
10,100,2,4,9.210340372,0.075875125,3.91E-07,4,1,1,0.081079985
10,100,2,5,9.210340372,0.038412291,1.21E-07,0,0,1,0.027026662
10,100,2,6,9.210340372,0.044613459,1.37E-07,0,0,1,0.054053324
