m,alpha,k,Time,d_cpdag,TPR,FPR
10,1,1,0.029165983,3,0.928571429,0.022988506
10,1,2,0.011823177,5,0.785714286,0.02247191
10,1,3,0.009347916,6,0.714285714,0.022222222
10,1,4,0.010624886,9,0.571428571,0.032608696
10,1,5,0.018626928,3,0.928571429,0.022988506
10,1,6,0.009876013,3,0.857142857,0.011363636
10,1,7,0.022372007,0,1,0
10,1,8,0.007208109,2,0.928571429,0.011494253
10,1,9,0.031166077,0,1,0
10,1,10,0.009445906,3,0.857142857,0.011363636
10,1,11,0.006048203,0,1,0
10,1,12,0.0039711,0,1,0
10,1,13,0.003341913,5,0.714285714,0.011111111
10,1,14,0.003183126,7,0.642857143,0.021978022
10,1,15,0.003238916,2,0.928571429,0.011494253
10,1,16,0.003241062,3,0.857142857,0.011363636
10,1,17,0.003123045,8,0.571428571,0.02173913
10,1,18,0.00327301,0,1,0
10,1,19,0.003232956,6,0.714285714,0.022222222
10,1,20,0.003297091,3,0.857142857,0.011363636
10,1,21,0.003187895,0,1,0
10,1,22,0.003538847,6,0.857142857,0.045454545
10,1,23,0.003270864,2,0.928571429,0.011494253
10,1,24,0.003442049,8,0.714285714,0.044444444
10,1,25,0.004456043,2,0.928571429,0.011494253
10,1,26,0.003454924,4,0.928571429,0.034482759
10,1,27,0.003245115,0,1,0
10,1,28,0.003237963,2,0.928571429,0.011494253
10,1,29,0.003377199,7,0.714285714,0.033333333
10,1,30,0.003014088,4,0.785714286,0.011235955
10,2,1,0.002922058,2,0.928571429,0.011494253
10,2,2,0.003120184,5,0.785714286,0.02247191
10,2,3,0.003180981,2,1,0.023255814
10,2,4,0.003250122,5,0.785714286,0.02247191
10,2,5,0.003313065,4,0.785714286,0.011235955
10,2,6,0.003236055,0,1,0
10,2,7,0.003097057,0,1,0
10,2,8,0.003109932,0,1,0
10,2,9,0.003091097,0,1,0
10,2,10,0.003040075,4,0.857142857,0.022727273
10,2,11,0.005761147,0,1,0
10,2,12,0.00338006,0,1,0
10,2,13,0.00455308,5,0.714285714,0.011111111
10,2,14,0.010915995,4,0.785714286,0.011235955
10,2,15,0.003009081,0,1,0
10,2,16,0.003216982,3,0.857142857,0.011363636
10,2,17,0.00293088,0,1,0
10,2,18,0.003066063,0,1,0
10,2,19,0.003005028,0,1,0
10,2,20,0.003189802,0,1,0
10,2,21,0.00301981,0,1,0
10,2,22,0.003109932,4,0.857142857,0.022727273
10,2,23,0.002943039,0,1,0
10,2,24,0.003029823,0,1,0
10,2,25,0.003090143,2,0.928571429,0.011494253
10,2,26,0.003175974,2,1,0.023255814
10,2,27,0.003029108,0,1,0
10,2,28,0.003232956,3,0.928571429,0.022988506
10,2,29,0.003143072,2,1,0.023255814
10,2,30,0.002927065,0,1,0
10,4,1,0.010645151,0,1,0
10,4,2,0.003087997,0,1,0
10,4,3,0.003154039,2,0.857142857,0
10,4,4,0.002928019,4,0.857142857,0.022727273
10,4,5,0.00304389,3,0.857142857,0.011363636
10,4,6,0.003053904,0,1,0
10,4,7,0.00302887,7,0.642857143,0.021978022
10,4,8,0.003340006,2,0.928571429,0.011494253
10,4,9,0.003376007,4,0.785714286,0.011235955
10,4,10,0.003072023,0,1,0
10,4,11,0.003081083,0,1,0
10,4,12,0.002959013,0,1,0
10,4,13,0.002948046,7,0.714285714,0.033333333
10,4,14,0.0031569,0,1,0
10,4,15,0.003185034,2,1,0.023255814
10,4,16,0.003212929,0,1,0
10,4,17,0.003202915,3,0.857142857,0.011363636
10,4,18,0.003693104,2,0.928571429,0.011494253
10,4,19,0.003303051,2,1,0.023255814
10,4,20,0.004564047,0,1,0
10,4,21,0.003038883,0,1,0
10,4,22,0.003050804,4,0.857142857,0.022727273
10,4,23,0.003456831,0,1,0
10,4,24,0.003399134,0,1,0
10,4,25,0.003628016,0,1,0
10,4,26,0.003687859,2,0.928571429,0.011494253
10,4,27,0.003021002,2,0.928571429,0.011494253
10,4,28,0.003304005,0,1,0
10,4,29,0.003078938,6,0.714285714,0.022222222
10,4,30,0.003089905,0,1,0
15,1,1,0.003584862,6,0.941176471,0.023923445
15,1,2,0.003525972,2,0.941176471,0.004784689
15,1,3,0.004395008,16,0.705882353,0.051643192
15,1,4,0.003787994,7,0.823529412,0.018957346
15,1,5,0.003723145,6,0.823529412,0.014218009
15,1,6,0.003707886,6,0.882352941,0.019047619
15,1,7,0.004328966,11,0.823529412,0.037914692
15,1,8,0.003915071,9,1,0.043269231
15,1,9,0.003827095,8,0.764705882,0.018867925
15,1,10,0.003888845,8,0.823529412,0.023696682
15,1,11,0.003582954,6,0.882352941,0.019047619
15,1,12,0.003993988,10,0.882352941,0.038095238
15,1,13,0.003794909,2,1,0.009615385
15,1,14,0.003895044,8,0.882352941,0.028571429
15,1,15,0.012380123,5,0.941176471,0.019138756
15,1,16,0.003773928,2,1,0.009615385
15,1,17,0.003753901,8,0.823529412,0.023696682
15,1,18,0.003578901,7,0.764705882,0.014150943
15,1,19,0.003808022,8,0.882352941,0.028571429
15,1,20,0.003317833,3,0.882352941,0.004761905
15,1,21,0.003556013,2,0.941176471,0.004784689
15,1,22,0.003737926,11,0.647058824,0.023364486
15,1,23,0.003503084,3,0.941176471,0.009569378
15,1,24,0.003678083,16,0.588235294,0.041860465
15,1,25,0.003999949,6,0.823529412,0.014218009
15,1,26,0.012686968,5,0.823529412,0.009478673
15,1,27,0.003581047,0,1,0
15,1,28,0.003546953,0,1,0
15,1,29,0.003811121,6,0.941176471,0.023923445
15,1,30,0.00454998,5,0.941176471,0.019138756
15,2,1,0.004499197,2,1,0.009615385
15,2,2,0.003628016,0,1,0
15,2,3,0.004022121,20,0.529411765,0.055555556
15,2,4,0.003657103,8,0.882352941,0.028571429
15,2,5,0.00364995,7,0.823529412,0.018957346
15,2,6,0.003983974,4,1,0.019230769
15,2,7,0.004225969,17,0.764705882,0.061320755
15,2,8,0.004161835,6,0.823529412,0.014218009
15,2,9,0.003941059,5,0.882352941,0.014285714
15,2,10,0.00351882,3,1,0.014423077
15,2,11,0.004019976,4,0.941176471,0.014354067
15,2,12,0.003923893,6,0.882352941,0.019047619
