m,n,alpha,k,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,100,1,1,1.029349459,8.35E-07,0,0,1,0
10,100,1,2,0.598960542,0,0,0,1,0
10,100,1,3,1.209726208,9.13E-06,0,0,1,0
10,100,1,4,0.911737875,1.32E-05,0,0,1,0
10,100,1,5,0.447024875,0,0,0,1,0
10,100,1,6,0.6536445,1.28E-05,0,0,1,0
10,100,1,7,0.65399995,9.20E-06,0,0,1,0
10,100,1,8,0.434402917,2.88E-06,0,0,1,0
10,100,1,9,0.630812375,9.62E-05,0,0,1,0
10,100,1,10,0.528650375,7.12E-07,2,0,1,0
10,100,1,11,0.776601375,2.78E-05,0,0,1,0
10,100,1,12,0.634479124,2.20E-07,0,0,1,0
10,100,1,13,0.556298,4.50E-05,0,0,1,0
10,100,1,14,0.565691625,2.99E-05,2,0,1,0
10,100,1,15,0.735937833,1.43E-05,0,0,1,0
10,100,1,16,0.387723667,1.74E-06,0,0,1,0
10,100,1,17,1.024090875,9.80E-07,2,0,1,0
10,100,1,18,0.689650667,3.79E-07,0,0,1,0
10,100,1,19,0.649132584,3.17E-06,0,0,1,0
10,100,1,20,0.313749792,8.35E-05,0,0,1,0
10,100,1,21,0.802464125,5.22E-05,0,0,1,0
10,100,1,22,1.474410083,2.88E-06,2,0,1,0
10,100,1,23,0.976403292,4.94E-06,0,0,1,0
10,100,1,24,0.624585958,1.15E-09,2,1,1,0.027027027
10,100,1,25,0.795720667,3.75E-06,2,1,1,0.027027027
10,100,1,26,0.858091,5.18E-05,0,0,1,0
10,100,1,27,1.566755958,6.09E-05,0,0,1,0
10,100,1,28,0.862039917,0,0,0,1,0
10,100,1,29,1.364540542,1.52E-05,2,1,1,0.027027027
10,100,1,30,1.008514125,5.14E-06,0,0,1,0
10,100,2,1,1.481189542,4.49E-05,0,0,1,0
10,100,2,2,0.604606542,0,0,0,1,0
10,100,2,3,1.038368459,9.67E-06,0,0,1,0
10,100,2,4,1.02189575,2.59E-05,0,0,1,0
10,100,2,5,0.867916167,1.17E-05,0,0,1,0
10,100,2,6,1.164374792,9.50E-06,0,0,1,0
10,100,2,7,0.286651917,3.37E-05,0,0,1,0
10,100,2,8,0.772713666,2.66E-07,0,0,1,0
10,100,2,9,0.73586675,0,0,0,1,0
10,100,2,10,1.395065583,1.12E-05,0,0,1,0
