m,alpha,k,Time,d_cpdag,SHD,SHDs,TPR,FPR
10,1,1,0.373805046,6,4,4,1,0.043478261
10,1,2,0.214966059,7,5,3,1,0.032608696
10,1,3,0.218320131,7,5,5,1,0.054347826
10,1,4,0.204913139,14,10,6,1,0.065217391
10,1,5,0.214568853,5,4,3,1,0.032608696
10,1,6,0.200146914,4,2,1,1,0.010869565
10,1,7,0.222767115,13,8,8,1,0.086956522
10,1,8,0.209642887,13,10,7,1,0.076086957
10,1,9,0.200587034,0,1,0,1,0
10,1,10,0.201305866,1,1,1,1,0.010869565
10,2,1,0.211061954,6,4,3,1,0.032608696
10,2,2,0.213313103,9,8,5,1,0.054347826
10,2,3,0.200004101,6,4,4,1,0.043478261
10,2,4,0.210375071,16,13,9,1,0.097826087
10,2,5,0.200803995,8,4,3,1,0.032608696
10,2,6,0.214075089,2,4,1,1,0.010869565
10,2,7,0.203158855,16,11,9,1,0.097826087
10,2,8,0.211387873,11,10,7,1,0.076086957
10,2,9,0.203034163,0,1,0,1,0
10,2,10,0.211598873,9,5,4,1,0.043478261
10,4,1,0.208681107,4,2,2,1,0.02173913
10,4,2,0.216403008,4,2,2,1,0.02173913
10,4,3,0.204510927,4,3,2,1,0.02173913
10,4,4,0.219349146,3,2,2,1,0.02173913
10,4,5,0.206041813,6,4,3,1,0.032608696
10,4,6,0.215075016,6,3,3,1,0.032608696
10,4,7,0.201949835,14,10,7,1,0.076086957
10,4,8,0.215594053,3,2,2,1,0.02173913
10,4,9,0.214806795,4,3,2,1,0.02173913
10,4,10,0.226649046,6,5,4,1,0.043478261
15,1,1,0.35905385,15,8,7,1,0.03286385
15,1,2,0.351079941,16,12,10,1,0.046948357
15,1,3,0.345183134,17,12,10,1,0.046948357
15,1,4,0.344936848,10,7,7,1,0.03286385
15,1,5,0.347481012,6,5,5,1,0.023474178
15,1,6,0.357110977,6,4,4,1,0.018779343
15,1,7,0.361668825,21,14,14,1,0.0657277
15,1,8,0.347182989,12,5,5,1,0.023474178
15,1,9,0.354605198,6,4,4,1,0.018779343
15,1,10,0.356506109,12,8,8,1,0.037558685
15,2,1,0.357141018,16,9,7,1,0.03286385
15,2,2,0.351839066,14,11,8,1,0.037558685
15,2,3,0.367224216,15,11,10,1,0.046948357
15,2,4,0.355257988,15,7,6,1,0.028169014
15,2,5,0.353451967,12,7,7,1,0.03286385
15,2,6,0.36315608,15,9,8,1,0.037558685
15,2,7,0.35632205,19,14,12,1,0.056338028
15,2,8,0.35574007,13,6,6,1,0.028169014
15,2,9,0.36927104,10,6,6,1,0.028169014
15,2,10,0.359957218,17,10,9,1,0.042253521
15,4,1,0.376072884,10,8,5,1,0.023474178
15,4,2,0.354455948,18,11,8,1,0.037558685
15,4,3,0.347406149,11,7,5,0.916666667,0.018779343
15,4,4,0.35070014,17,11,8,0.916666667,0.03286385
15,4,5,0.352788925,23,15,13,0.916666667,0.056338028
15,4,6,0.370611906,9,7,5,1,0.023474178
15,4,7,0.401169062,26,19,15,1,0.070422535
15,4,8,0.364382029,13,10,9,1,0.042253521
15,4,9,0.36169219,25,20,15,0.916666667,0.0657277
15,4,10,0.353950977,15,10,8,0.916666667,0.03286385
20,1,1,0.561231852,21,14,13,1,0.033854167
20,1,2,0.573771954,19,13,11,1,0.028645833
20,1,3,0.564226866,27,18,16,1,0.041666667
20,1,4,0.551314116,14,9,8,1,0.020833333
20,1,5,0.575345993,15,10,9,1,0.0234375
20,1,6,0.57258296,15,10,10,1,0.026041667
20,1,7,0.657685041,32,22,18,1,0.046875
20,1,8,0.560312033,15,10,9,1,0.0234375
20,1,9,0.617627144,25,14,12,1,0.03125
20,1,10,0.566073895,21,13,13,1,0.033854167
20,2,1,0.550961971,25,18,17,1,0.044270833
20,2,2,0.555272102,23,17,12,1,0.03125
20,2,3,0.589905024,20,13,12,1,0.03125
20,2,4,0.6600492,23,13,12,1,0.03125
20,2,5,0.558214903,10,7,6,1,0.015625
20,2,6,0.547566891,16,12,12,1,0.03125
20,2,7,0.552356005,31,20,19,1,0.049479167
20,2,8,0.553689957,22,13,10,1,0.026041667
20,2,9,0.556177855,17,8,8,1,0.020833333
20,2,10,0.552324057,14,7,7,1,0.018229167
20,4,1,0.598221064,28,19,15,0.875,0.033854167
20,4,2,0.567122936,23,14,11,1,0.028645833
20,4,3,0.570634842,36,23,19,0.9375,0.046875
20,4,4,0.564239025,28,21,18,0.9375,0.044270833
20,4,5,0.567893028,25,17,13,0.9375,0.03125
20,4,6,0.580420971,26,16,13,1,0.033854167
20,4,7,0.571161032,35,23,18,0.9375,0.044270833
20,4,8,0.586641073,25,16,12,0.9375,0.028645833
20,4,9,0.557975054,24,16,11,1,0.028645833
20,4,10,0.565423012,26,17,12,1,0.03125
