m,alpha,k,Time,d_cpdag,SHD,SHDs,TPR,FPR
10,1,1,0.060731888,0,0,0,1,0
10,1,2,0.008141994,0,1,0,1,0
10,1,3,0.00446105,0,0,0,1,0
10,1,4,0.004922867,0,2,0,1,0
10,1,5,0.004486799,0,1,0,1,0
10,1,6,0.004928112,2,2,1,0.875,0
10,1,7,0.004892111,0,1,0,1,0
10,1,8,0.004565954,0,0,0,1,0
10,1,9,0.006221056,0,1,0,1,0
10,1,10,0.004513025,0,0,0,1,0
10,2,1,0.004504919,0,1,0,1,0
10,2,2,0.006981134,0,1,0,1,0
10,2,3,0.005950928,0,1,0,1,0
10,2,4,0.004885197,0,2,0,1,0
10,2,5,0.004817963,0,1,0,1,0
10,2,6,0.004805088,2,3,1,0.875,0
10,2,7,0.004535913,2,2,1,0.875,0
10,2,8,0.004539967,0,1,0,1,0
10,2,9,0.004678965,0,1,0,1,0
10,2,10,0.004554987,0,1,0,1,0
10,4,1,0.004512787,2,2,1,0.875,0
10,4,2,0.004756212,2,2,1,0.875,0
10,4,3,0.004818916,2,3,1,0.875,0
10,4,4,0.004471064,2,2,1,0.875,0
10,4,5,0.017376184,4,3,2,0.75,0
10,4,6,0.004655123,2,2,1,0.875,0
10,4,7,0.004443884,2,3,1,0.875,0
10,4,8,0.004438877,4,3,2,0.75,0
10,4,9,0.004824877,2,3,1,0.875,0
10,4,10,0.004415989,2,3,1,0.875,0
15,1,1,0.01282692,2,1,1,0.916666667,0
15,1,2,0.013373137,0,0,0,1,0
15,1,3,0.026022196,5,3,2,0.833333333,0
15,1,4,0.01276207,9,5,4,0.75,0.004694836
15,1,5,0.013603926,2,1,0,1,0
15,1,6,0.012887955,6,3,2,0.916666667,0.004694836
15,1,7,0.012537956,6,4,3,0.916666667,0.009389671
15,1,8,0.012563944,0,0,0,1,0
15,1,9,0.012589931,1,1,1,0.916666667,0
15,1,10,0.012625933,6,3,2,0.833333333,0
15,2,1,0.012276173,9,4,2,1,0.009389671
15,2,2,0.012435913,4,2,1,1,0.004694836
15,2,3,0.014583826,5,4,3,0.75,0
15,2,4,0.012629986,5,3,2,0.833333333,0
15,2,5,0.01273489,5,3,1,0.916666667,0
15,2,6,0.026252985,7,5,3,0.833333333,0.004694836
15,2,7,0.012722969,3,3,1,0.916666667,0
15,2,8,0.012276173,4,2,1,1,0.004694836
15,2,9,0.012660027,2,1,0,1,0
15,2,10,0.012230158,12,6,5,0.666666667,0.004694836
15,4,1,0.012387991,15,9,6,0.666666667,0.009389671
15,4,2,0.025331974,17,9,7,0.666666667,0.014084507
15,4,3,0.012160063,14,8,5,0.75,0.009389671
15,4,4,0.012534857,13,8,5,0.666666667,0.004694836
15,4,5,0.012778044,17,9,7,0.583333333,0.009389671
15,4,6,0.012465,15,9,7,0.5,0.004694836
15,4,7,0.012645006,15,10,6,0.666666667,0.009389671
15,4,8,0.012989044,13,8,6,0.666666667,0.009389671
15,4,9,0.012746096,15,11,8,0.5,0.009389671
15,4,10,0.012681007,15,9,7,0.583333333,0.009389671
20,1,1,0.028635025,10,5,4,0.8125,0.002604167
20,1,2,0.029265165,3,2,2,0.875,0
20,1,3,0.027952909,3,2,2,0.875,0
20,1,4,0.029549837,11,6,4,0.8125,0.002604167
20,1,5,0.028611183,10,5,4,0.8125,0.002604167
20,1,6,0.029016018,12,7,5,0.875,0.0078125
20,1,7,0.027836084,12,8,6,0.75,0.005208333
20,1,8,0.043064117,12,6,3,0.9375,0.005208333
20,1,9,0.028091908,11,6,5,0.75,0.002604167
20,1,10,0.029113054,7,4,2,1,0.005208333
20,2,1,0.028783798,9,5,4,0.75,0
20,2,2,0.028917074,10,8,5,0.8125,0.005208333
20,2,3,0.029080153,12,8,6,0.75,0.005208333
20,2,4,0.028544903,16,8,5,0.75,0.002604167
20,2,5,0.029080153,7,3,2,0.9375,0.002604167
20,2,6,0.034471035,8,4,3,0.8125,0
20,2,7,0.029088974,16,10,8,0.75,0.010416667
20,2,8,0.028772116,17,8,4,0.875,0.005208333
20,2,9,0.028843164,12,6,5,0.75,0.002604167
20,2,10,0.029178858,13,8,6,0.8125,0.0078125
20,4,1,0.028522968,11,7,5,0.75,0.002604167
20,4,2,0.042893171,10,8,6,0.75,0.005208333
20,4,3,0.02799511,8,5,3,0.875,0.002604167
20,4,4,0.02795887,22,12,9,0.625,0.0078125
20,4,5,0.02849102,22,13,9,0.625,0.0078125
20,4,6,0.027987003,18,11,7,0.6875,0.005208333
20,4,7,0.028759956,21,14,10,0.5625,0.0078125
20,4,8,0.028560162,18,10,6,0.6875,0.002604167
20,4,9,0.028808117,18,12,8,0.6875,0.0078125
20,4,10,0.029240131,21,13,9,0.625,0.0078125
