m,k,alpha,d_cpdag,TPR,FPR,Time
10,1,1,4,0.875,0,0.007222176
10,2,1,2,1,0,0.005864859
10,3,1,2,1,0,0.006223679
10,4,1,2,1,0,0.006773949
10,5,1,0,1,0,0.005443096
10,6,1,2,0.875,0,0.006651878
10,7,1,4,0.875,0,0.005696058
10,8,1,2,1,0,0.005996704
10,9,1,0,1,0,0.005335093
10,10,1,0,1,0,0.005351782
10,1,2,0,1,0,0.006404161
10,2,2,2,0.875,0,0.006107092
10,3,2,4,0.875,0,0.00644207
10,4,2,2,1,0,0.006077051
10,5,2,2,1,0,0.005819082
10,6,2,2,0.875,0,0.006268024
10,7,2,2,0.875,0,0.005687714
10,8,2,2,1,0,0.006124735
10,9,2,2,1,0,0.005970001
10,10,2,0,1,0,0.006403208
10,1,4,6,0.75,0,0.006543159
10,2,4,4,0.875,0,0.006274223
10,3,4,2,0.875,0,0.004863977
10,4,4,6,0.75,0,0.006138086
10,5,4,4,0.75,0,0.005517006
10,6,4,2,0.875,0,0.006328821
10,7,4,2,1,0,0.00551486
10,8,4,6,0.625,0,0.005648136
10,9,4,4,0.875,0,0.00583601
10,10,4,4,0.75,0,0.005684853
15,1,1,11,0.833333333,0.010752688,0.009739161
15,2,1,7,1,0,0.007328033
15,3,1,14,0.75,0.021505376,0.009661913
15,4,1,16,0.75,0.010752688,0.008657932
15,5,1,9,0.833333333,0,0.009498835
15,6,1,9,0.916666667,0,0.008620024
15,7,1,9,0.75,0,0.009135008
15,8,1,8,0.916666667,0.010752688,0.009904861
15,9,1,11,0.75,0,0.0112257
15,10,1,9,0.833333333,0,0.007714987
15,1,2,8,0.916666667,0,0.01082015
15,2,2,7,1,0,0.00924015
15,3,2,13,0.75,0.032258065,0.00946784
15,4,2,12,0.833333333,0.010752688,0.009970188
15,5,2,11,0.75,0.010752688,0.009065866
15,6,2,9,0.833333333,0,0.009501934
15,7,2,15,0.583333333,0.021505376,0.010296822
15,8,2,10,0.916666667,0,0.007494926
15,9,2,8,0.916666667,0.010752688,0.008141279
15,10,2,11,0.666666667,0.010752688,0.007833004
15,1,4,7,0.75,0,0.008888721
15,2,4,15,0.583333333,0.010752688,0.009798765
15,3,4,5,0.75,0,0.009679079
15,4,4,13,0.666666667,0,0.007883072
15,5,4,9,0.75,0,0.008220911
15,6,4,15,0.5,0.010752688,0.008424997
15,7,4,7,0.75,0,0.011250973
15,8,4,5,0.916666667,0,0.011110306
15,9,4,9,0.666666667,0,0.011099815
15,10,4,12,0.75,0.010752688,0.006958008
20,1,1,22,0.9375,0.011494253,0.011619091
20,2,1,18,0.75,0.011494253,0.010007143
20,3,1,23,0.8125,0.022988506,0.01041317
20,4,1,23,0.6875,0.028735632,0.010751963
20,5,1,12,0.875,0.005747126,0.010432959
20,6,1,18,0.6875,0.011494253,0.015526772
20,7,1,15,0.875,0,0.010944128
20,8,1,20,0.8125,0.022988506,0.011290073
20,9,1,14,0.8125,0.005747126,0.010206938
20,10,1,13,0.8125,0.005747126,0.011593819
20,1,2,18,0.8125,0.011494253,0.013339758
20,2,2,13,0.8125,0,0.010442972
20,3,2,17,0.9375,0.005747126,0.011119127
20,4,2,16,0.8125,0.005747126,0.012251139
20,5,2,10,0.875,0.005747126,0.014296055
20,6,2,16,0.875,0.005747126,0.010278225
20,7,2,17,0.875,0.005747126,0.012931108
20,8,2,19,0.8125,0.011494253,0.012037277
20,9,2,17,0.875,0,0.011790037
20,10,2,15,0.8125,0,0.011776924
20,1,4,21,0.6875,0.011494253,0.012331963
20,2,4,16,0.625,0.005747126,0.012282848
20,3,4,14,0.8125,0,0.012314081
20,4,4,14,0.625,0,0.015295982
20,5,4,18,0.6875,0.011494253,0.015205145
20,6,4,14,0.6875,0.005747126,0.01245904
20,7,4,17,0.75,0.005747126,0.015579224
20,8,4,19,0.6875,0.011494253,0.010812044
20,9,4,20,0.625,0.011494253,0.013355017
20,10,4,21,0.6875,0.011494253,0.010267258
