m,n,alpha,k,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,100,1,1,1.0651558,1.55E-05,0,0,1,0
10,100,1,2,0.9052089,6.10E-06,0,0,1,0
10,100,1,3,0.4428687,8.51E-05,0,0,1,0
10,100,1,4,0.9923586,7.49E-05,0,0,1,0
10,100,1,5,0.7065201,1.59E-05,0,0,1,0
10,100,1,6,0.5769296,4.90E-07,0,0,1,0
10,100,1,7,1.1865569,1.05E-05,0,0,1,0
10,100,1,8,0.2770855,1.65E-06,0,0,1,0
10,100,1,9,0.5140051,8.21E-05,0,0,1,0
10,100,1,10,0.9597561,2.95E-05,2,0,1,0
10,100,2,1,0.8106503,3.33E-05,0,0,1,0
10,100,2,2,0.7489507,2.45E-05,0,0,1,0
10,100,2,3,0.9326268,7.69E-05,0,0,1,0
10,100,2,4,0.3907384,4.32E-06,0,0,1,0
10,100,2,5,0.9842329,2.74E-05,0,0,1,0
10,100,2,6,0.4269784,2.21E-06,0,0,1,0
10,100,2,7,1.0560714,2.52E-05,0,0,1,0
10,100,2,8,0.2667666,8.60E-06,0,0,1,0
10,100,2,9,0.6151378,6.69E-06,0,0,1,0
10,100,2,10,1.327353,9.48E-06,0,0,1,0
10,100,4,1,1.1463601,1.10E-06,0,0,1,0
10,100,4,2,1.054104,0,0,0,1,0
10,100,4,3,0.4865299,6.73E-06,0,0,1,0
10,100,4,4,0.5306737,0,0,0,1,0
10,100,4,5,0.5002197,0,0,0,1,0
10,100,4,6,0.7285905,1.14E-05,0,0,1,0
10,100,4,7,0.8203079,1.40E-05,0,0,1,0
10,100,4,8,0.4715295,3.36E-05,0,0,1,0
10,100,4,9,0.4261264,6.57E-07,0,0,1,0
10,100,4,10,0.410176,1.39E-05,0,0,1,0
15,100,1,1,11.1467766,8.58E-05,4,2,0.916666667,0.010752688
15,100,1,2,6.6942601,1.89E-09,0,0,1,0
15,100,1,3,11.0803964,1.74E-06,2,1,1,0.010752688
15,100,1,4,8.7877674,2.77E-08,0,0,1,0
15,100,1,5,6.5781518,0,2,0,1,0
15,100,1,6,3.2925258,5.87E-08,0,0,1,0
15,100,1,7,9.9045682,1.16E-06,1,1,1,0.010752688
15,100,1,8,7.1604675,0,0,0,1,0
15,100,1,9,4.6555807,1.43E-06,0,0,1,0
15,100,1,10,4.7781594,0,5,0,1,0
15,100,2,1,8.5265239,0,0,0,1,0
15,100,2,2,4.0131766,1.83E-08,0,0,1,0
15,100,2,3,5.958996,0,0,0,1,0
15,100,2,4,6.9514345,5.38E-07,0,0,1,0
15,100,2,5,5.0855235,0,2,0,1,0
15,100,2,6,3.547516,5.70E-08,0,0,1,0
15,100,2,7,3.9662481,2.61E-07,0,0,1,0
15,100,2,8,3.2845709,0,0,0,1,0
15,100,2,9,6.0780797,9.74E-06,0,0,1,0
15,100,2,10,4.2639402,0,0,0,1,0
15,100,4,1,3.3002794,3.23E-05,2,1,0.916666667,0
15,100,4,2,6.0263785,7.38E-06,0,0,1,0
15,100,4,3,3.9726311,2.85E-09,1,1,0.916666667,0
15,100,4,4,7.6304217,2.74E-08,0,0,1,0
15,100,4,5,2.4011046,5.77E-07,4,1,0.916666667,0
15,100,4,6,4.1243216,1.04E-08,2,1,0.916666667,0
15,100,4,7,5.5007573,8.84E-09,2,1,1,0.010752688
15,100,4,8,4.1305893,1.22E-05,2,1,0.916666667,0
15,100,4,9,3.4895091,3.12E-08,0,0,1,0
15,100,4,10,5.4737727,0,2,1,0.916666667,0
20,100,1,1,135.7038098,4.62E-05,0,0,1,0
20,100,1,2,28.5072656,3.08E-09,1,1,0.9375,0
20,100,1,3,190.8051717,1.16E-10,0,0,1,0
20,100,1,4,241.3844506,1.66E-08,0,0,1,0
20,100,1,5,409.3522634,1.04E-08,0,0,1,0
20,100,1,6,172.9041828,0,0,0,1,0
20,100,1,7,39.8979924,0,2,1,0.9375,0
20,100,1,8,52.7881355,0,0,0,1,0
20,100,1,9,38.7162921,0,0,0,1,0
20,100,1,10,460.5846544,0,0,0,1,0
20,100,2,1,57.1174518,2.69E-08,8,2,0.9375,0.005747126
20,100,2,2,20.9573998,1.66E-08,0,0,1,0
20,100,2,3,46.8037015,2.64E-08,0,0,1,0
20,100,2,4,128.286326,0,0,0,1,0
20,100,2,5,52.7610256,2.38E-05,0,0,1,0
20,100,2,6,43.5934283,4.13E-07,0,0,1,0
20,100,2,7,71.2790132,0,0,0,1,0
20,100,2,8,15.1037372,7.28E-05,0,0,1,0
20,100,2,9,108.4069153,2.77E-08,0,0,1,0
20,100,2,10,136.5793359,0,8,1,1,0.005747126
20,100,4,1,33.7369921,4.67E-09,0,0,1,0
20,100,4,2,168.1390972,0,0,0,1,0
20,100,4,3,245.5124396,2.45E-05,7,0,1,0
20,100,4,4,8.8557238,1.10E-07,2,1,0.9375,0
20,100,4,5,45.6700778,8.02E-09,7,0,1,0
20,100,4,6,86.0294103,1.04E-08,0,0,1,0
20,100,4,7,401.8865642,1.20E-07,0,0,1,0
20,100,4,8,51.6344517,1.94E-06,0,0,1,0
20,100,4,9,40.3042231,1.37E-06,0,0,1,0
20,100,4,10,80.2675273,2.19E-08,0,0,1,0
