m,n,alpha,k,lambda,Time,RGAP,d_cpdag,SHDs,TPR,FPR
10,100,1,1,9.210340372,0.0360217,0.003043823,0,0,1,0
10,100,1,2,9.210340372,0.0428786,0.009560753,0,0,1,0
10,100,1,3,9.210340372,0.1030048,0.005178715,0,0,1,0
10,100,1,4,9.210340372,0.0856675,0.004780604,3,1,1,0.081079985
10,100,1,5,9.210340372,0.0659114,0.008026994,0,0,1,0.027026662
10,100,1,6,9.210340372,0.0475814,0.009665302,0,0,1,0.027026662
10,100,1,7,9.210340372,0.0597095,0.009431936,0,0,1,0
10,100,1,8,9.210340372,0.0919844,0.004990619,0,0,1,0
10,100,1,9,9.210340372,0.035642,0.00984932,0,0,1,0
10,100,1,10,9.210340372,0.1079425,0.007974007,0,0,1,0
10,100,2,1,9.210340372,0.0542933,0.007429818,0,0,1,0
10,100,2,2,9.210340372,0.0921758,0.007069124,0,0,1,0.027026662
10,100,2,3,9.210340372,0.1540535,0.006754451,0,0,1,0
10,100,2,4,9.210340372,0.1064062,0.006726394,3,1,1,0.081079985
10,100,2,5,9.210340372,0.0468784,0.005165608,0,0,1,0.027026662
10,100,2,6,9.210340372,0.0613437,0.009648563,0,0,1,0.054053324
10,100,2,7,9.210340372,0.0883486,0.00232897,0,0,1,0.027026662
10,100,2,8,9.210340372,0.0868439,0.007277609,0,0,1,0.027026662
10,100,2,9,9.210340372,0.0630716,2.00E-05,0,0,1,0.027026662
10,100,2,10,9.210340372,0.086466,0.009840407,4,1,1,0.054053324
10,100,4,1,9.210340372,0.0780332,4.10E-06,0,0,1,0.027026662
10,100,4,2,9.210340372,0.0848497,0.000537161,0,0,1,0.027026662
10,100,4,3,9.210340372,0.0399027,0.001392697,4,1,1,0.081079985
10,100,4,4,9.210340372,0.1040399,0.005324271,0,0,1,0.027026662
10,100,4,5,9.210340372,0.085976,0.008645379,4,1,1,0.081079985
10,100,4,6,9.210340372,0.1048293,0.00370719,4,1,1,0.054053324
10,100,4,7,9.210340372,0.0716087,0.003538379,0,0,1,0.054053324
10,100,4,8,9.210340372,0.062462,0.002382729,0,0,1,0.027026662
10,100,4,9,9.210340372,0.0346593,0.000376273,0,0,1,0.054053324
10,100,4,10,9.210340372,0.0740394,0.009284165,0,0,1,0.027026662
15,100,1,1,10.8322008,0.1009176,0.009440893,6,2,1,0.021505261
15,100,1,2,10.8322008,0.1556589,2.18E-05,6,2,1,0.021505261
15,100,1,3,10.8322008,0.1758726,0.003938117,2,1,1,0.01075263
15,100,1,4,10.8322008,0.138271,0.004279192,4,1,1,0.01075263
15,100,1,5,10.8322008,0.1090736,0.009120809,2,1,1,0.01075263
15,100,1,6,10.8322008,0.1137112,0.005439782,4,1,1,0.021505261
15,100,1,7,10.8322008,0.1317292,0.007667368,3,2,1,0.021505261
15,100,1,8,10.8322008,0.1189109,0.008961425,5,2,1,0.021505261
15,100,1,9,10.8322008,0.1232265,0.009686606,0,0,1,0
15,100,1,10,10.8322008,0.0964711,0.004230845,0,0,1,0
15,100,2,1,10.8322008,0.1365932,0.009589872,8,3,1,0.053763152
15,100,2,2,10.8322008,0.1644324,0.00499442,6,2,1,0.032257891
15,100,2,3,10.8322008,0.149496,0.006746031,11,4,1,0.064515782
15,100,2,4,10.8322008,0.1502953,1.77E-05,8,1,1,0.032257891
15,100,2,5,10.8322008,0.1388335,0.007777729,4,1,1,0.021505261
15,100,2,6,10.8322008,0.1298917,0.007763515,8,3,1,0.053763152
15,100,2,7,10.8322008,0.1454622,0.001950572,11,4,1,0.064515782
15,100,2,8,10.8322008,0.1398631,0.00018957,4,1,1,0.01075263
15,100,2,9,10.8322008,0.1106297,0.006956778,0,0,1,0
15,100,2,10,10.8322008,0.137955,0.008353137,2,1,1,0.01075263
15,100,4,1,10.8322008,0.1062895,0.007449295,8,2,1,0.053763152
15,100,4,2,10.8322008,0.136356,3.06E-06,10,3,1,0.053763152
15,100,4,3,10.8322008,0.1336246,0.003006197,19,5,1,0.086021043
15,100,4,4,10.8322008,0.1320653,6.11E-07,8,2,1,0.064515782
15,100,4,5,10.8322008,0.1041837,0.007251664,8,2,1,0.053763152
