m,alpha,k,Time,d_cpdag,TPR,FPR
10,1,1,0.005151987,0,1,0
10,1,2,0.00417304,0,1,0
10,1,3,0.006479979,0,1,0
10,1,4,0.00425601,3,0.857142857,0.011363636
10,1,5,0.004034042,3,0.857142857,0.011363636
10,1,6,0.0052948,0,1,0
10,1,7,0.00368309,0,1,0
10,1,8,0.003798008,0,1,0
10,1,9,0.003699064,0,1,0
10,1,10,0.003648996,2,0.857142857,0
10,2,1,0.003633976,0,1,0
10,2,2,0.003449917,0,1,0
10,2,3,0.010166883,0,1,0
10,2,4,0.003990889,3,0.857142857,0.011363636
10,2,5,0.003256083,0,1,0
10,2,6,0.003200054,0,1,0
10,2,7,0.003179073,0,1,0
10,2,8,0.003441811,0,1,0
10,2,9,0.005364895,0,1,0
10,2,10,0.003253222,3,0.857142857,0.011363636
10,4,1,0.003752947,0,1,0
10,4,2,0.003550053,0,1,0
10,4,3,0.003096104,3,0.857142857,0.011363636
10,4,4,0.003253222,0,1,0
10,4,5,0.002968073,3,0.857142857,0.011363636
10,4,6,0.003192902,0,1,0
10,4,7,0.00296998,0,1,0
10,4,8,0.003130913,0,1,0
10,4,9,0.003013134,0,1,0
10,4,10,0.002948046,0,1,0
15,1,1,0.003669977,4,1,0.019230769
15,1,2,0.02253294,5,0.823529412,0.009478673
15,1,3,0.003517151,8,0.764705882,0.018867925
15,1,4,0.003413916,3,0.882352941,0.004761905
15,1,5,0.003546,4,0.823529412,0.004739336
15,1,6,0.003493071,0,1,0
15,1,7,0.003610134,3,0.941176471,0.009569378
15,1,8,0.003868818,5,1,0.024038462
15,1,9,0.003720045,0,1,0
15,1,10,0.003810167,5,0.823529412,0.009478673
15,2,1,0.003507853,7,0.823529412,0.018957346
15,2,2,0.003520012,2,0.941176471,0.004784689
15,2,3,0.003548861,11,0.647058824,0.023364486
15,2,4,0.003687859,1,1,0.004807692
15,2,5,0.003555059,2,0.882352941,0
15,2,6,0.003853798,0,1,0
15,2,7,0.003760815,6,0.823529412,0.014218009
15,2,8,0.003540039,0,1,0
15,2,9,0.003720999,0,1,0
15,2,10,0.003419876,0,1,0
15,4,1,0.003503084,3,0.882352941,0.004761905
15,4,2,0.003703117,2,0.941176471,0.004784689
15,4,3,0.003646851,6,0.823529412,0.014218009
15,4,4,0.003607988,0,1,0
15,4,5,0.00344491,2,0.882352941,0
15,4,6,0.003538132,4,0.882352941,0.00952381
15,4,7,0.003805161,2,0.941176471,0.004784689
15,4,8,0.003672123,8,0.705882353,0.014084507
15,4,9,0.003567934,0,1,0
15,4,10,0.003726006,4,0.823529412,0.004739336
20,1,1,0.004221916,0,1,0
20,1,2,0.004120111,10,0.708333333,0.007832898
20,1,3,0.004452944,5,0.875,0.005277045
20,1,4,0.004222155,2,0.958333333,0.00265252
20,1,5,0.004369974,13,0.625,0.01038961
20,1,6,0.00419879,2,1,0.005319149
20,1,7,0.004143,0,1,0
20,1,8,0.004170179,0,1,0
20,1,9,0.004355192,0,1,0
20,1,10,0.005442142,3,0.916666667,0.002645503
20,2,1,0.004776955,0,1,0
20,2,2,0.006681919,7,0.833333333,0.007894737
20,2,3,0.00562501,0,1,0
20,2,4,0.004610062,2,0.958333333,0.00265252
20,2,5,0.00406003,7,0.833333333,0.007894737
20,2,6,0.004031897,1,1,0.002659574
20,2,7,0.00437212,7,0.833333333,0.007894737
20,2,8,0.004332066,2,0.958333333,0.00265252
20,2,9,0.004249811,2,1,0.005319149
20,2,10,0.004230022,11,0.708333333,0.010443864
20,4,1,0.004080057,0,1,0
20,4,2,0.004374027,10,0.708333333,0.007832898
20,4,3,0.003979206,7,0.75,0.002617801
20,4,4,0.004079103,3,0.916666667,0.002645503
20,4,5,0.004060984,7,0.708333333,0
20,4,6,0.024017096,0,1,0
20,4,7,0.004361868,10,0.708333333,0.007832898
20,4,8,0.004106998,0,1,0
20,4,9,0.004208088,10,0.708333333,0.007832898
20,4,10,0.00427413,0,1,0
