m,alpha,k,time,d_cpdag,TPR,FPR
10,1,1,0.084958076,2,1,0.023255814
10,1,2,0.024352789,2,1,0.023255814
10,1,3,0.053460121,2,1,0.023255814
10,1,4,0.026630163,4,1,0.046511628
10,1,5,0.081741095,2,1,0.023255814
10,1,6,0.036849976,2,1,0.023255814
10,1,7,0.029412031,2,1,0.023255814
10,1,8,0.043458939,2,1,0.023255814
10,1,9,0.016968012,2,1,0.023255814
10,1,10,0.021395922,2,1,0.023255814
10,2,1,0.034161091,2,1,0.023255814
10,2,2,0.017024994,2,1,0.023255814
10,2,3,0.039103985,2,1,0.023255814
10,2,4,0.006834984,4,1,0.046511628
10,2,5,0.002691984,2,1,0.023255814
10,2,6,0.002412081,2,1,0.023255814
10,2,7,0.006089926,2,1,0.023255814
10,2,8,0.005765915,2,1,0.023255814
10,2,9,0.00316596,2,1,0.023255814
10,2,10,0.002906084,2,1,0.023255814
10,4,1,0.004113913,2,1,0.023255814
10,4,2,0.002821922,2,1,0.023255814
10,4,3,0.002955914,2,1,0.023255814
10,4,4,0.002569914,4,0.857142857,0.022727273
10,4,5,0.002956867,4,0.928571429,0.034482759
10,4,6,0.002751112,2,1,0.023255814
10,4,7,0.002501011,2,1,0.023255814
10,4,8,0.002619982,2,1,0.023255814
10,4,9,0.003106833,2,1,0.023255814
10,4,10,0.002842188,2,1,0.023255814
15,1,1,0.005328894,11,1,0.052884615
15,1,2,0.005718946,14,0.764705882,0.047169811
15,1,3,0.003712893,13,0.705882353,0.037558685
15,1,4,0.005110979,9,1,0.043269231
15,1,5,0.005350828,15,0.764705882,0.051886792
15,1,6,0.003710985,11,0.764705882,0.033018868
15,1,7,0.003991842,11,0.764705882,0.033018868
15,1,8,0.005221128,9,1,0.043269231
15,1,9,0.004086971,11,0.764705882,0.033018868
15,1,10,0.004822016,11,0.764705882,0.033018868
15,2,1,0.02376008,13,0.764705882,0.04245283
15,2,2,0.003956079,11,0.764705882,0.033018868
15,2,3,0.004057884,13,0.705882353,0.037558685
15,2,4,0.003654957,11,0.764705882,0.033018868
15,2,5,0.003989935,11,0.764705882,0.033018868
15,2,6,0.003525972,11,0.764705882,0.033018868
15,2,7,0.00364399,11,0.647058824,0.023364486
15,2,8,0.004200935,11,0.764705882,0.033018868
15,2,9,0.003631115,11,0.764705882,0.033018868
15,2,10,0.004890919,7,1,0.033653846
15,4,1,0.004950047,9,1,0.043269231
15,4,2,0.003826857,11,0.764705882,0.033018868
15,4,3,0.022895813,11,0.705882353,0.028169014
15,4,4,0.004106045,11,0.764705882,0.033018868
15,4,5,0.004722834,9,0.764705882,0.023584906
15,4,6,0.003779173,11,0.764705882,0.033018868
15,4,7,0.003984928,11,0.764705882,0.033018868
15,4,8,0.005470991,12,0.764705882,0.037735849
15,4,9,0.003672123,11,0.764705882,0.033018868
15,4,10,0.003691912,11,0.764705882,0.033018868
20,1,1,0.004688978,16,0.75,0.02617801
20,1,2,0.004476786,14,0.708333333,0.018276762
20,1,3,0.004822969,18,0.708333333,0.028720627
20,1,4,0.024451971,18,0.708333333,0.028720627
20,1,5,0.004839182,16,0.75,0.02617801
20,1,6,0.005467176,18,0.75,0.031413613
20,1,7,0.00501585,14,0.75,0.020942408
20,1,8,0.007184029,14,0.75,0.020942408
20,1,9,0.00632906,14,0.75,0.020942408
20,1,10,0.005008936,16,0.75,0.02617801
20,2,1,0.004675865,14,0.75,0.020942408
20,2,2,0.004530907,14,0.75,0.020942408
20,2,3,0.00761199,18,0.75,0.031413613
20,2,4,0.025367022,16,0.75,0.02617801
20,2,5,0.00423789,14,0.75,0.020942408
20,2,6,0.004627228,16,0.75,0.02617801
20,2,7,0.004373074,14,0.75,0.020942408
20,2,8,0.004597902,16,0.75,0.02617801
20,2,9,0.004724026,14,0.75,0.020942408
20,2,10,0.00552702,16,0.75,0.02617801
20,4,1,0.004564047,17,0.708333333,0.026109661
20,4,2,0.007107019,16,0.75,0.02617801
20,4,3,0.004928112,14,0.75,0.020942408
20,4,4,0.004995108,15,0.708333333,0.020887728
20,4,5,0.004341841,14,0.75,0.020942408
20,4,6,0.004364014,14,0.75,0.020942408
20,4,7,0.004451036,14,0.75,0.020942408
20,4,8,0.004444122,14,0.75,0.020942408
20,4,9,0.004784822,14,0.75,0.020942408
20,4,10,0.004824877,14,0.75,0.020942408
