time,upper,lower
0.011790667,1.00E+100,-1451.246269
0.015511042,1.00E+100,-199.9786161
0.018718292,1.00E+100,-198.9936671
0.021232917,1.00E+100,-155.0151694
0.022670208,1.00E+100,-149.3943705
0.026585083,1.00E+100,-123.2769487
0.031363458,1.00E+100,-116.9200674
0.032597667,1.00E+100,-116.914159
0.034661417,1.00E+100,-116.4166792
0.036068292,1.00E+100,-116.3635041
0.056407083,1.00E+100,0.289404993
0.056415083,1.00E+100,0.294587711
0.059611417,1.00E+100,0.949214967
0.059652917,1.00E+100,1.149925946
0.062142333,1.00E+100,1.271135076
0.062147875,1.00E+100,1.35250249
0.06215325,1.00E+100,1.475996045
0.062888375,1.00E+100,6.836668389
0.09904075,1.00E+100,6.887756823
0.099175542,1.00E+100,7.085990952
0.122923042,1.00E+100,7.194099456
0.124690542,1.00E+100,7.215132321
0.130632792,1.00E+100,7.272897387
0.132773292,1.00E+100,7.272899051
0.137318875,1.00E+100,7.292872289
0.138692458,1.00E+100,7.29303391
0.141180292,1.00E+100,7.296231088
0.146556125,1.00E+100,7.29643063
0.196672583,1.00E+100,7.298607526
0.196684708,1.00E+100,7.825244235
0.199863792,1.00E+100,8.151738785
0.199870708,1.00E+100,8.245720793
0.205291333,1.00E+100,8.301626796
0.210357458,1.00E+100,8.357866348
0.216360208,1.00E+100,8.47863374
0.2163775,1.00E+100,8.491398377
0.285704458,1.00E+100,8.491652484
0.285841708,1.00E+100,8.593377061
0.285973083,1.00E+100,8.962592411
0.28598925,1.00E+100,8.967370988
0.327231458,1.00E+100,9.077162169
0.327320208,1.00E+100,9.07842656
0.327402958,1.00E+100,9.220114252
0.383163708,1.00E+100,9.227303434
0.383292125,1.00E+100,9.281655415
0.38341275,1.00E+100,9.33431948
0.575745667,1.00E+100,9.356219943
0.576220083,1.00E+100,9.490350545
0.576655542,1.00E+100,9.499194826
0.624424375,1.00E+100,9.509244648
0.624622167,1.00E+100,9.516705709
0.62481225,1.00E+100,9.527761762
0.625010583,1.00E+100,9.529485164
0.659626,1.00E+100,9.571446831
0.65980125,1.00E+100,9.594393892
0.659998292,1.00E+100,9.612598809
0.660194625,1.00E+100,9.621242212
0.660385542,1.00E+100,9.63123505
0.660648917,1.00E+100,9.647676395
0.660834667,1.00E+100,9.674007808
0.661014083,1.00E+100,9.68451213
0.693365208,1.00E+100,9.707461855
0.693575125,1.00E+100,9.707526884
0.693787083,1.00E+100,9.723784073
0.693967042,1.00E+100,9.732507426
0.694154083,1.00E+100,9.732678272
0.694357042,1.00E+100,9.749885576
0.694565458,1.00E+100,9.76582831
0.694768708,1.00E+100,9.78783849
0.732428708,1.00E+100,9.791599706
0.732926292,1.00E+100,9.792888566
0.733292667,1.00E+100,9.793359936
0.733768958,1.00E+100,9.797503644
0.733952333,1.00E+100,9.797992743
0.734133958,1.00E+100,9.800185472
0.734307875,1.00E+100,9.803089001
0.734494375,1.00E+100,9.838330728
0.762887625,1.00E+100,9.843636348
0.763343792,1.00E+100,9.847119195
0.763815458,1.00E+100,9.854813116
0.7642955,1.00E+100,9.855067223
0.76462575,1.00E+100,9.855677779
0.764844792,1.00E+100,9.86761399
0.765038542,1.00E+100,9.894684798
0.765215125,1.00E+100,9.903482115
0.788063083,1.00E+100,9.919658796
0.788554583,1.00E+100,9.921481747
0.789021542,1.00E+100,9.925337285
0.78920075,1.00E+100,9.935414551
0.7893855,1.00E+100,9.948551447
0.789578625,1.00E+100,9.952886167
0.78975225,1.00E+100,9.952977242
0.789927417,1.00E+100,9.957185676
0.822256375,1.00E+100,9.957340359
0.82260825,1.00E+100,9.960639781
0.822901625,1.00E+100,9.970365437
0.823177042,1.00E+100,9.970440029
0.823389792,1.00E+100,9.979473062
0.823618375,1.00E+100,9.98237624
0.823787792,1.00E+100,9.990639733
0.823963417,1.00E+100,10.00266243
0.860614958,1.00E+100,10.00696194
0.897396625,1.00E+100,10.03306345
0.89759375,1.00E+100,10.03620497
0.897827875,1.00E+100,10.03840618
0.929044667,1.00E+100,10.06517829
0.966551875,1.00E+100,10.10656506
0.967035833,1.00E+100,10.10787089
0.967411708,1.00E+100,10.1093551
0.967833917,1.00E+100,10.11338297
0.968207833,1.00E+100,10.11495455
0.968483792,1.00E+100,10.11931309
0.968661,1.00E+100,10.12120869
0.968824667,1.00E+100,10.12601015
1.000538542,1.00E+100,10.12702395
1.001016042,1.00E+100,10.13030966
1.104150667,1.00E+100,10.17024237
1.104265167,1.00E+100,10.17105519
1.104450667,1.00E+100,10.17580553
1.104600917,1.00E+100,10.18010504
1.104752833,1.00E+100,10.18130313
1.104893875,1.00E+100,10.18842229
1.105033333,1.00E+100,10.20145742
1.105291833,1.00E+100,10.21803834
1.133089708,1.00E+100,10.21859242
1.13356475,1.00E+100,10.22384305
1.134790458,1.00E+100,10.2242027
1.134961583,1.00E+100,10.22586005
1.135121083,1.00E+100,10.23346787
1.135280792,1.00E+100,10.23444144
1.135448792,1.00E+100,10.24381766
1.135608167,1.00E+100,10.2498362
1.159459375,1.00E+100,10.25162113
1.159604167,1.00E+100,10.25268517
1.159732292,1.00E+100,10.26274913
1.226943917,1.00E+100,10.27625687
1.227095167,1.00E+100,10.29158396
1.227265,1.00E+100,10.29540283
1.279115542,1.00E+100,10.30259395
1.360475375,1.00E+100,10.33882697
1.360619958,1.00E+100,10.3590483
1.360789542,1.00E+100,10.36028691
1.360962,1.00E+100,10.36379933
1.361129333,1.00E+100,10.36651278
1.361300125,1.00E+100,10.3672307
1.361461458,1.00E+100,10.37677988
1.361642167,1.00E+100,10.38096741
1.405564667,1.00E+100,10.381956
1.40578675,1.00E+100,10.39097639
1.405982125,1.00E+100,10.39353734
1.440008708,1.00E+100,10.40005277
1.440291625,1.00E+100,10.40180744
1.440587542,1.00E+100,10.40655429
1.440819917,1.00E+100,10.41505191
1.441001958,1.00E+100,10.41537196
1.508929625,1.00E+100,10.43087067
1.609524958,1.00E+100,10.47008241
1.610011042,1.00E+100,10.47336025
1.610459875,1.00E+100,10.47431107
1.610896958,1.00E+100,10.48017799
1.611306958,1.00E+100,10.48035977
1.611593083,1.00E+100,10.48184809
1.611789375,1.00E+100,10.48274642
1.668914208,1.00E+100,10.49088963
1.669255667,1.00E+100,10.49106917
1.669636167,1.00E+100,10.49801002
1.670090542,1.00E+100,10.50962113
1.670393833,1.00E+100,10.51362004
1.670976708,1.00E+100,10.51869524
1.671173792,1.00E+100,10.51936701
1.671479167,1.00E+100,10.5244368
1.726844333,1.00E+100,10.52654968
1.727377917,1.00E+100,10.53166109
1.727833583,1.00E+100,10.53228374
1.728272083,1.00E+100,10.53257991
1.728762042,1.00E+100,10.53480702
1.729151458,1.00E+100,10.53740596
1.729724583,1.00E+100,10.53939933
1.730147417,1.00E+100,10.54073613
1.848154458,1.00E+100,10.54969385
1.848538917,1.00E+100,10.55397898
1.848854042,1.00E+100,10.55478686
1.849244917,1.00E+100,10.55583143
1.849513375,1.00E+100,10.56013133
1.849815208,1.00E+100,10.56127979
1.850137542,1.00E+100,10.56197501
2.019400375,1.00E+100,10.56411172
2.01962475,1.00E+100,10.56478075
2.019824792,1.00E+100,10.56578183
2.020020542,1.00E+100,10.56675836
2.020250208,1.00E+100,10.57619481
2.058102375,1.00E+100,10.58836066
2.05859275,1.00E+100,10.5963105
2.059126792,1.00E+100,10.59828563
2.059632917,1.00E+100,10.598383
2.104664125,1.00E+100,10.61409597
2.104932708,1.00E+100,10.61605124
2.105163417,1.00E+100,10.61928715
2.105383542,1.00E+100,10.62696161
2.105735,1.00E+100,10.62755278
2.10610775,1.00E+100,10.62783222
2.106352917,1.00E+100,10.62891164
2.106583708,1.00E+100,10.63900063
2.148416083,1.00E+100,10.64342811
2.1486775,1.00E+100,10.6518035
2.148954,1.00E+100,10.65514286
2.149169583,1.00E+100,10.65604597
2.149431458,1.00E+100,10.65663758
2.149663083,1.00E+100,10.66310761
2.149882375,1.00E+100,10.66496591
2.1501315,1.00E+100,10.66854911
2.188509833,1.00E+100,10.67565622
2.188834667,1.00E+100,10.67571946
2.189137542,1.00E+100,10.67697531
2.18944125,1.00E+100,10.67698523
2.1897725,1.00E+100,10.68527286
